Cumulative period fertility rates (Lexis squares)
Last modified: 21/01/2015
Code Year    Age     CPFR
AUT  1956    34     2.051
AUT  1956    35     2.131
AUT  1956    36     2.198
AUT  1956    37     2.259
AUT  1956    38     2.311
AUT  1956    39     2.357
AUT  1956    40     2.395
AUT  1956    41     2.425
AUT  1956    42     2.448
AUT  1956    43     2.464
AUT  1956    44     2.474
AUT  1956    45     2.481
AUT  1956    46     2.484
AUT  1956    47     2.485
AUT  1956    48     2.486
AUT  1956    49     2.486
AUT  1956    50     2.486
AUT  1956    51     2.486
AUT  1956    52     2.486
AUT  1956    53     2.486
AUT  1956    54     2.486
AUT  1956    55     2.486
AUT  1957    12     0.000
AUT  1957    13     0.000
AUT  1957    14     0.000
AUT  1957    15     0.000
AUT  1957    16     0.003
AUT  1957    17     0.014
AUT  1957    18     0.045
AUT  1957    19     0.106
AUT  1957    20     0.202
AUT  1957    21     0.327
AUT  1957    22     0.473
AUT  1957    23     0.632
AUT  1957    24     0.798
AUT  1957    25     0.965
AUT  1957    26     1.131
AUT  1957    27     1.289
AUT  1957    28     1.442
AUT  1957    29     1.581
AUT  1957    30     1.714
AUT  1957    31     1.833
AUT  1957    32     1.942
AUT  1957    33     2.039
AUT  1957    34     2.127
AUT  1957    35     2.207
AUT  1957    36     2.280
AUT  1957    37     2.342
AUT  1957    38     2.397
AUT  1957    39     2.443
AUT  1957    40     2.479
AUT  1957    41     2.510
AUT  1957    42     2.533
AUT  1957    43     2.548
AUT  1957    44     2.560
AUT  1957    45     2.566
AUT  1957    46     2.569
AUT  1957    47     2.571
AUT  1957    48     2.572
AUT  1957    49     2.572
AUT  1957    50     2.572
AUT  1957    51     2.572
AUT  1957    52     2.572
AUT  1957    53     2.572
AUT  1957    54     2.572
AUT  1957    55     2.572
AUT  1958    12     0.000
AUT  1958    13     0.000
AUT  1958    14     0.000
AUT  1958    15     0.001
AUT  1958    16     0.003
AUT  1958    17     0.014
AUT  1958    18     0.046
AUT  1958    19     0.108
AUT  1958    20     0.204
AUT  1958    21     0.333
AUT  1958    22     0.483
AUT  1958    23     0.648
AUT  1958    24     0.821
AUT  1958    25     0.995
AUT  1958    26     1.164
AUT  1958    27     1.327
AUT  1958    28     1.479
AUT  1958    29     1.619
AUT  1958    30     1.748
AUT  1958    31     1.869
AUT  1958    32     1.978
AUT  1958    33     2.078
AUT  1958    34     2.168
AUT  1958    35     2.248
AUT  1958    36     2.318
AUT  1958    37     2.381
AUT  1958    38     2.433
AUT  1958    39     2.477
AUT  1958    40     2.513
AUT  1958    41     2.542
AUT  1958    42     2.563
AUT  1958    43     2.577
AUT  1958    44     2.588
AUT  1958    45     2.595
AUT  1958    46     2.598
AUT  1958    47     2.600
AUT  1958    48     2.600
AUT  1958    49     2.600
AUT  1958    50     2.600
AUT  1958    51     2.600
AUT  1958    52     2.600
AUT  1958    53     2.600
AUT  1958    54     2.600
AUT  1958    55     2.600
AUT  1959    12     0.000
AUT  1959    13     0.000
AUT  1959    14     0.000
AUT  1959    15     0.001
AUT  1959    16     0.004
AUT  1959    17     0.017
AUT  1959    18     0.050
AUT  1959    19     0.116
AUT  1959    20     0.218
AUT  1959    21     0.349
AUT  1959    22     0.504
AUT  1959    23     0.677
AUT  1959    24     0.853
AUT  1959    25     1.037
AUT  1959    26     1.212
AUT  1959    27     1.380
AUT  1959    28     1.541
AUT  1959    29     1.685
AUT  1959    30     1.822
AUT  1959    31     1.947
AUT  1959    32     2.058
AUT  1959    33     2.157
AUT  1959    34     2.247
AUT  1959    35     2.327
AUT  1959    36     2.399
AUT  1959    37     2.460
AUT  1959    38     2.515
AUT  1959    39     2.560
AUT  1959    40     2.598
AUT  1959    41     2.628
AUT  1959    42     2.651
AUT  1959    43     2.666
AUT  1959    44     2.676
AUT  1959    45     2.682
AUT  1959    46     2.685
AUT  1959    47     2.687
AUT  1959    48     2.687
AUT  1959    49     2.688
AUT  1959    50     2.688
AUT  1959    51     2.688
AUT  1959    52     2.688
AUT  1959    53     2.688
AUT  1959    54     2.688
AUT  1959    55     2.688
AUT  1960    12     0.000
AUT  1960    13     0.000
AUT  1960    14     0.000
AUT  1960    15     0.001
AUT  1960    16     0.004
AUT  1960    17     0.017
AUT  1960    18     0.055
AUT  1960    19     0.122
AUT  1960    20     0.224
AUT  1960    21     0.357
AUT  1960    22     0.509
AUT  1960    23     0.679
AUT  1960    24     0.858
AUT  1960    25     1.038
AUT  1960    26     1.214
AUT  1960    27     1.387
AUT  1960    28     1.548
AUT  1960    29     1.701
AUT  1960    30     1.836
AUT  1960    31     1.958
AUT  1960    32     2.070
AUT  1960    33     2.174
AUT  1960    34     2.263
AUT  1960    35     2.343
AUT  1960    36     2.413
AUT  1960    37     2.474
AUT  1960    38     2.526
AUT  1960    39     2.572
AUT  1960    40     2.609
AUT  1960    41     2.637
AUT  1960    42     2.659
AUT  1960    43     2.674
AUT  1960    44     2.684
AUT  1960    45     2.690
AUT  1960    46     2.693
AUT  1960    47     2.695
AUT  1960    48     2.695
AUT  1960    49     2.695
AUT  1960    50     2.695
AUT  1960    51     2.696
AUT  1960    52     2.696
AUT  1960    53     2.696
AUT  1960    54     2.696
AUT  1960    55     2.696
AUT  1961    12     0.000
AUT  1961    13     0.000
AUT  1961    14     0.000
AUT  1961    15     0.001
AUT  1961    16     0.005
AUT  1961    17     0.022
AUT  1961    18     0.063
AUT  1961    19     0.139
AUT  1961    20     0.246
AUT  1961    21     0.382
AUT  1961    22     0.538
AUT  1961    23     0.710
AUT  1961    24     0.896
AUT  1961    25     1.083
AUT  1961    26     1.267
AUT  1961    27     1.442
AUT  1961    28     1.607
AUT  1961    29     1.764
AUT  1961    30     1.903
AUT  1961    31     2.033
AUT  1961    32     2.146
AUT  1961    33     2.250
AUT  1961    34     2.342
AUT  1961    35     2.424
AUT  1961    36     2.495
AUT  1961    37     2.560
AUT  1961    38     2.615
AUT  1961    39     2.660
AUT  1961    40     2.699
AUT  1961    41     2.727
AUT  1961    42     2.750
AUT  1961    43     2.766
AUT  1961    44     2.775
AUT  1961    45     2.781
AUT  1961    46     2.784
AUT  1961    47     2.785
AUT  1961    48     2.786
AUT  1961    49     2.786
AUT  1961    50     2.786
AUT  1961    51     2.786
AUT  1961    52     2.786
AUT  1961    53     2.786
AUT  1961    54     2.786
AUT  1961    55     2.786
AUT  1962    12     0.000
AUT  1962    13     0.000
AUT  1962    14     0.000
AUT  1962    15     0.000
AUT  1962    16     0.004
AUT  1962    17     0.023
AUT  1962    18     0.070
AUT  1962    19     0.150
AUT  1962    20     0.261
AUT  1962    21     0.399
AUT  1962    22     0.556
AUT  1962    23     0.727
AUT  1962    24     0.908
AUT  1962    25     1.094
AUT  1962    26     1.278
AUT  1962    27     1.455
AUT  1962    28     1.620
