England and Wales, Total Population, Life expectancy at birth (period, 1x1)     Last modified: 03-Nov-2010, MPv5 (May07)

Year     Female    Male   Total
1841      42.63   40.58   41.70
1842      42.18   40.38   41.35
1843      42.79   40.81   41.86
1844      42.47   40.50   41.55
1845      43.51   41.46   42.56
1846      40.92   38.87   39.96
1847      39.26   37.29   38.33
1848      40.47   38.42   39.50
1849      38.14   36.50   37.38
1850      43.63   41.83   42.80
1851      42.33   40.36   41.42
1852      41.94   39.77   40.93
1853      41.62   39.38   40.56
1854      40.30   38.27   39.34
1855      42.13   39.84   41.03
1856      44.30   42.09   43.25
1857      42.77   40.87   41.88
1858      40.89   39.05   40.04
1859      41.76   39.76   40.84
1860      44.07   41.78   43.01
1861      43.47   41.14   42.38
1862      43.64   41.28   42.52
1863      41.56   39.14   40.40
1864      41.20   38.64   39.97
1865      41.97   39.24   40.65
1866      41.67   39.07   40.41
1867      44.01   41.14   42.62
1868      43.32   40.58   42.00
1869      43.06   40.15   41.67
1870      42.40   39.40   40.95
1871      42.81   39.72   41.31
1872      44.50   41.21   42.90
1873      45.38   42.09   43.78
1874      43.63   40.50   42.13
1875      43.38   40.21   41.85
1876      45.37   41.91   43.69
1877      46.48   42.86   44.70
1878      44.58   41.35   43.01
1879      45.87   42.55   44.27
1880      45.34   42.09   43.78
1881      47.63   44.51   46.11
1882      46.32   43.31   44.87
1883      46.63   43.46   45.09
1884      46.28   43.17   44.79
1885      47.23   44.18   45.76
1886      46.84   43.71   45.33
1887      47.13   44.08   45.65
1888      48.47   45.06   46.81
1889      47.92   44.65   46.34
1890      46.50   42.92   44.75
1891      45.98   42.49   44.29
1892      47.05   43.84   45.51
1893      46.42   43.20   44.87
1894      49.91   46.64   48.34
1895      47.30   44.03   45.73
1896      49.02   45.67   47.41
1897      49.05   45.30   47.23
1898      48.72   45.14   46.98
1899      47.94   44.24   46.13
1900      48.21   44.35   46.32
1901      49.79   45.94   47.91
1902      50.99   47.09   49.08
1903      52.29   48.45   50.43
1904      50.92   47.21   49.11
1905      52.66   48.96   50.86
1906      52.44   48.65   50.58
1907      53.25   49.54   51.44
1908      53.75   49.84   51.84
1909      54.28   50.65   52.52
1910      55.85   52.03   53.99
1911      53.46   49.53   51.54
1912      56.41   52.60   54.55
1913      55.85   51.73   53.83
1914      55.66   48.47   51.99
1915      54.32   42.90   48.20
1916      57.07   40.46   47.73
1917      57.24   37.22   45.57
1918      50.25   33.38   40.43
1919      56.62   51.49   54.12
1920      58.73   54.29   56.60
1921      60.22   56.26   58.35
1922      59.52   55.65   57.69
1923      61.68   57.69   59.79
1924      60.69   56.70   58.79
1925      60.83   56.88   58.94
1926      62.05   58.01   60.13
1927      61.37   57.26   59.42
1928      62.53   58.33   60.52
1929      59.97   55.91   58.03
1930      63.46   59.10   61.41
1931      62.42   58.26   60.46
1932      63.02   59.01   61.13
1933      62.92   58.99   61.06
1934      63.73   59.73   61.84
1935      64.55   60.45   62.60
1936      64.42   60.12   62.37
1937      64.47   60.18   62.42
1938      65.94   61.40   63.78
1939      66.23   61.82   64.13
1940      63.93   57.33   60.62
1941      64.82   58.68   61.77
1942      67.38   59.25   63.27
1943      67.29   58.03   62.51
1944      68.21   57.72   62.74
1945      68.73   55.74   61.77
1946      69.26   64.70   67.11
1947      69.17   64.45   66.94
1948      71.12   66.48   68.94
1949      70.72   66.14   68.56
1950      71.31   66.51   69.03
1951      71.03   65.90   68.58
1952      72.48   67.09   69.91
1953      72.62   67.32   70.10
1954      73.13   67.65   70.53
1955      73.09   67.58   70.47
1956      73.36   67.77   70.70
1957      73.59   67.83   70.85
1958      73.77   67.99   71.02
1959      73.88   68.14   71.14
1960      74.16   68.26   71.35
1961      73.88   68.02   71.08
1962      74.00   68.00   71.13
1963      73.95   67.92   71.06
1964      74.79   68.61   71.84
1965      74.82   68.56   71.83
1966      74.75   68.48   71.75
1967      75.26   69.09   72.33
1968      74.92   68.74   71.98
1969      74.98   68.64   71.95
1970      75.21   68.91   72.21
1971      75.50   69.22   72.51
1972      75.26   69.05   72.31
1973      75.50   69.27   72.54
1974      75.68   69.48   72.74
1975      75.89   69.73   72.98
1976      75.87   69.75   72.98
1977      76.35   70.24   73.47
1978      76.29   70.16   73.40
1979      76.39   70.28   73.51
1980      76.76   70.74   73.93
1981      77.07   71.08   74.27
1982      77.17   71.26   74.41
1983      77.40   71.48   74.64
1984      77.76   71.90   75.04
1985      77.54   71.80   74.87
1986      77.84   72.03   75.15
1987      78.13   72.42   75.49
1988      78.23   72.56   75.61
1989      78.30   72.81   75.77
1990      78.69   73.04   76.08
1991      78.78   73.28   76.25
1992      79.14   73.73   76.66
1993      78.98   73.68   76.55
1994      79.50   74.22   77.09
1995      79.38   74.15   76.98
1996      79.60   74.48   77.27
1997      79.76   74.81   77.52
1998      79.91   74.98   77.66
1999      79.98   75.17   77.78
2000      80.41   75.68   78.25
2001      80.62   76.00   78.52
2002      80.74   76.18   78.66
2003      80.70   76.38   78.72
2004      81.30   76.97   79.33
2005      81.44   77.25   79.52
2006      81.74   77.46   79.77
2007      81.89   77.73   79.97
2008      81.95   77.90   80.07
2009      82.49   78.36   80.57
