England and Wales, Total Population, Exposure to risk (cohort 1x10)     Last modified: 03-Nov-2010, MPv5 (May07)

   Year      Age       Female          Male         Total
1764-1769    107            2.32         0.00         2.32 
1764-1769    108            0.10         0.00         0.10 
1764-1769    109            0.00         0.00         0.00 
1764-1769    110+           0.00         0.00         0.00 
1770-1779      0               .            .            . 
1770-1779      1               .            .            . 
1770-1779      2               .            .            . 
1770-1779      3               .            .            . 
1770-1779      4               .            .            . 
1770-1779      5               .            .            . 
1770-1779      6               .            .            . 
1770-1779      7               .            .            . 
1770-1779      8               .            .            . 
1770-1779      9               .            .            . 
1770-1779     10               .            .            . 
1770-1779     11               .            .            . 
1770-1779     12               .            .            . 
1770-1779     13               .            .            . 
1770-1779     14               .            .            . 
1770-1779     15               .            .            . 
1770-1779     16               .            .            . 
1770-1779     17               .            .            . 
1770-1779     18               .            .            . 
1770-1779     19               .            .            . 
1770-1779     20               .            .            . 
1770-1779     21               .            .            . 
1770-1779     22               .            .            . 
1770-1779     23               .            .            . 
1770-1779     24               .            .            . 
1770-1779     25               .            .            . 
1770-1779     26               .            .            . 
1770-1779     27               .            .            . 
1770-1779     28               .            .            . 
1770-1779     29               .            .            . 
1770-1779     30               .            .            . 
1770-1779     31               .            .            . 
1770-1779     32               .            .            . 
1770-1779     33               .            .            . 
1770-1779     34               .            .            . 
1770-1779     35               .            .            . 
1770-1779     36               .            .            . 
1770-1779     37               .            .            . 
1770-1779     38               .            .            . 
1770-1779     39               .            .            . 
1770-1779     40               .            .            . 
1770-1779     41               .            .            . 
1770-1779     42               .            .            . 
1770-1779     43               .            .            . 
1770-1779     44               .            .            . 
1770-1779     45               .            .            . 
1770-1779     46               .            .            . 
1770-1779     47               .            .            . 
1770-1779     48               .            .            . 
1770-1779     49               .            .            . 
1770-1779     50               .            .            . 
1770-1779     51               .            .            . 
1770-1779     52               .            .            . 
1770-1779     53               .            .            . 
1770-1779     54               .            .            . 
1770-1779     55               .            .            . 
1770-1779     56               .            .            . 
1770-1779     57               .            .            . 
1770-1779     58               .            .            . 
1770-1779     59               .            .            . 
1770-1779     60               .            .            . 
1770-1779     61               .            .            . 
1770-1779     62               .            .            . 
1770-1779     63               .            .            . 
1770-1779     64               .            .            . 
1770-1779     65               .            .            . 
1770-1779     66               .            .            . 
1770-1779     67               .            .            . 
1770-1779     68               .            .            . 
1770-1779     69               .            .            . 
1770-1779     70               .            .            . 
1770-1779     71       260311.31    222292.19    482603.50 
1770-1779     72       244382.29    207008.32    451390.61 
1770-1779     73       228728.51    191937.44    420665.95 
1770-1779     74       213630.27    177349.56    390979.83 
1770-1779     75       198796.91    163234.37    362031.29 
1770-1779     76       182246.83    148350.81    330597.65 
1770-1779     77       165708.20    133495.29    299203.48 
1770-1779     78       149371.43    118869.02    268240.45 
1770-1779     79       133145.03    104416.03    237561.06 
1770-1779     80       129983.02     99411.26    229394.28 
1770-1779     81       113009.73     85031.90    198041.63 
1770-1779     82        96884.44     71468.15    168352.59 
1770-1779     83        81868.73     58937.12    140805.85 
1770-1779     84        68147.11     47629.24    115776.35 
1770-1779     85        55963.46     38016.99     93980.45 
1770-1779     86        45750.26     30380.29     76130.56 
1770-1779     87        36781.72     23851.57     60633.29 
1770-1779     88        29087.63     18385.22     47472.86 
1770-1779     89        22673.54     13947.41     36620.94 
1770-1779     90        17400.91     10394.46     27795.37 
1770-1779     91        13142.55      7599.31     20741.86 
1770-1779     92         9760.07      5446.48     15206.55 
1770-1779     93         7126.16      3826.45     10952.61 
1770-1779     94         5110.83      2632.98      7743.80 
1770-1779     95         3604.10      1773.93      5378.03 
1770-1779     96         2492.03      1165.91      3657.94 
1770-1779     97         1689.44       751.67      2441.11 
1770-1779     98         1117.10       473.52      1590.62 
1770-1779     99          715.95       286.89      1002.83 
1770-1779    100          441.93       166.11       608.05 
1770-1779    101          262.24        91.48       353.72 
1770-1779    102          148.80        47.43       196.22 
1770-1779    103           80.05        21.88       101.93 
1770-1779    104           40.58         7.73        48.31 
1770-1779    105           18.66         1.22        19.87 
1770-1779    106            6.52         0.00         6.52 
1770-1779    107            0.99         0.00         0.99 
1770-1779    108            0.00         0.00         0.00 
1770-1779    109            0.00         0.00         0.00 
1770-1779    110+           0.00         0.00         0.00 
1780-1789      0               .            .            . 
1780-1789      1               .            .            . 
