Female exposure to risk by calendar year, age and parity
Last modified: 25/09/2014
Code Year   Age            E0x            E1x            E2x            E3x           E4px
AUT  1992    18       46853.07        2013.80         185.66           5.52           0.00
AUT  1992    19       47523.57        3727.69         456.27          22.54           1.71
AUT  1992    20       48575.61        6015.34         957.33          82.96           4.54
AUT  1992    21       47813.34        8525.26        1763.03         175.58           9.56
AUT  1992    22       46697.83       11350.27        3162.58         357.32          30.42
AUT  1992    23       45422.02       14189.70        5207.22         647.07          80.92
AUT  1992    24       41679.83       16430.66        7418.00        1033.36         154.91
AUT  1992    25       37070.60       18394.13       10041.88        1613.62         252.90
AUT  1992    26       32445.65       19565.32       12786.17        2369.32         435.39
AUT  1992    27       29043.32       20511.91       15817.55        3260.27         667.13
AUT  1992    28       25437.92       20535.78       18419.01        4143.09         924.68
AUT  1992    29       22299.85       20175.82       20596.63        5149.04        1266.82
AUT  1992    30       19225.68       19058.42       21714.17        6008.72        1592.51
AUT  1992    31       16692.23       17907.67       22167.03        6768.03        1975.43
AUT  1992    32       14611.58       16800.62       22195.82        7356.80        2358.92
AUT  1992    33       13036.72       15938.87       22107.29        7741.63        2631.46
AUT  1992    34       11765.57       15256.74       21894.75        8121.41        2863.53
AUT  1992    35       10945.20       14840.17       21940.42        8526.52        3196.91
AUT  1992    36        9937.92       13950.84       21328.23        8547.23        3503.38
AUT  1992    37        8772.46       12957.58       20094.79        8426.85        3629.65
AUT  1992    38        7990.07       12458.33       19331.08        8447.16        3872.16
AUT  1992    39        7498.30       12161.58       19036.92        8373.71        4139.20
AUT  1992    40        7026.43       11781.16       18665.77        8326.78        4268.53
AUT  1992    41        6700.09       11701.51       18462.04        8478.63        4657.07
AUT  1992    42        6523.97       11772.34       18594.39        8683.61        5004.05
AUT  1992    43        6785.08       12473.89       19467.09        9263.93        5440.98
AUT  1992    44        6844.60       12746.75       19399.39        9364.11        5710.59
AUT  1992    45        6562.93       12264.26       18933.88        9227.00        5994.56
AUT  1992    46        4917.77        9042.15       13660.96        6746.76        4653.57
AUT  1992    47        5934.12       10713.67       15698.20        7766.88        5501.33
AUT  1992    48        6558.37       11687.22       17296.23        8732.78        6288.43
AUT  1992    49        6194.06       10871.62       16385.69        8710.89        6546.74
AUT  1992    50        6765.13       11735.59       17713.92        9898.83        7787.05
AUT  1992    51        7297.17       12362.83       18594.94       10823.35        8954.73
AUT  1992    52        7674.90       12761.63       19515.04       11685.38       10336.41
AUT  1992    53        6061.26        9800.16       15319.88        9734.67        9346.52
AUT  1992    54        4626.48        7055.16       11311.39        7654.79        7946.09
AUT  1992    55        4490.22        6635.26       10759.88        7395.18        7875.72
AUT  1993    12       47015.97           0.00           0.00           0.00           0.00
AUT  1993    13       44058.61           1.54           0.00           0.00           0.00
AUT  1993    14       43209.81           9.85           0.00           0.00           0.00
AUT  1993    15       42998.26          56.90           1.50           0.00           0.00
AUT  1993    16       43332.30         246.51           9.69           0.49           0.00
AUT  1993    17       44698.54         741.49          53.20           4.18           0.00
AUT  1993    18       46560.73        1818.53         171.21          14.31           0.00
AUT  1993    19       46054.28        3546.54         446.29          31.71           0.99
AUT  1993    20       46122.00        5750.12         966.51          74.20           5.21
AUT  1993    21       46524.97        8197.38        1778.14         178.95          12.11
AUT  1993    22       45316.15       10638.65        2975.53         343.41          27.21
AUT  1993    23       43822.87       13293.60        4819.77         605.90          70.48
AUT  1993    24       42242.28       15842.06        7251.94        1014.90         145.53
AUT  1993    25       38375.25       17693.38        9727.60        1539.64         253.02
AUT  1993    26       33843.10       19165.48       12541.58        2247.44         392.19
AUT  1993    27       29523.25       19817.39       15201.99        3148.36         613.67
AUT  1993    28       26447.23       20525.43       18016.31        4162.12         894.64
AUT  1993    29       23194.33       20352.12       20254.56        5072.00        1198.88
AUT  1993    30       20464.83       19779.38       22094.61        6045.44        1586.47
AUT  1993    31       17806.46       18614.50       22850.94        6838.42        1911.04
AUT  1993    32       15645.94       17468.24       23016.51        7531.27        2286.85
AUT  1993    33       13883.96       16407.00       22839.62        7996.84        2684.28
AUT  1993    34       12511.61       15644.88       22590.17        8274.64        2927.93
AUT  1993    35       11358.86       15018.54       22272.32        8554.96        3118.21
AUT  1993    36       10609.75       14674.45       22177.44        8833.78        3433.56
AUT  1993    37        9724.27       13869.09       21464.03        8780.52        3724.30
AUT  1993    38        8654.67       12914.57       20189.02        8601.65        3809.37
AUT  1993    39        7933.81       12451.10       19430.03        8574.28        4013.27
AUT  1993    40        7482.18       12183.34       19149.75        8482.79        4256.80
AUT  1993    41        7005.07       11775.37       18718.52        8377.23        4344.76
AUT  1993    42        6691.91       11722.66       18507.86        8508.10        4713.13
AUT  1993    43        6531.44       11810.48       18655.47        8719.35        5046.67
AUT  1993    44        6793.96       12496.39       19506.14        9285.02        5467.86
AUT  1993    45        6847.53       12756.76       19413.17        9370.21        5724.48
AUT  1993    46        6556.68       12256.93       18917.38        9222.96        5994.56
AUT  1993    47        4916.85        9041.66       13657.47        6748.19        4653.10
AUT  1993    48        5924.47       10697.53       15673.89        7754.85        5492.82
AUT  1993    49        6545.58       11665.82       17263.30        8716.92        6276.64
AUT  1993    50        6192.16       10868.28       16380.17        8708.71        6544.73
AUT  1993    51        6753.71       11717.06       17685.24        9882.80        7774.45
AUT  1993    52        7272.99       12323.23       18534.62       10788.25        8925.68
AUT  1993    53        7663.64       12742.90       19486.39       11668.23       10321.23
AUT  1993    54        6053.81        9788.11       15301.04        9722.70        9335.03
AUT  1993    55        4579.44        7203.27       11422.68        7612.34        7695.64
AUT  1994    12       48068.10           0.00           0.00           0.00           0.00
AUT  1994    13       47209.26           2.56           0.00           0.00           0.00
AUT  1994    14       44222.40          11.60           0.00           0.00           0.00
AUT  1994    15       43460.31          52.21           0.50           0.00           0.00
AUT  1994    16       43121.51         221.46           7.99           0.50           0.00
AUT  1994    17       43184.05         660.78          37.99           2.48           0.00
