Cumulative cohort fertility rates by birth order (horizontal parallelograms
Last modified: 25/09/2014
Code Cohort  Age     CCFR     CCFR1     CCFR2     CCFR3     CCFR4    CCFR5p
AUT  1971    18     0.024     0.022     0.001     0.000     0.000     0.000
AUT  1971    19     0.052     0.048     0.004     0.000     0.000     0.000
AUT  1971    20     0.098     0.088     0.009     0.001     0.000     0.000
AUT  1971    21     0.164     0.140     0.022     0.002     0.000     0.000
AUT  1971    22     0.239     0.194     0.040     0.004     0.000     0.000
AUT  1971    23     0.323     0.248     0.066     0.008     0.001     0.000
AUT  1971    24     0.413     0.301     0.098     0.013     0.001     0.000
AUT  1971    25     0.510     0.353     0.135     0.020     0.003     0.000
AUT  1971    26     0.615     0.408     0.174     0.028     0.004     0.001
AUT  1971    27     0.716     0.457     0.214     0.038     0.006     0.001
AUT  1971    28     0.815     0.503     0.253     0.049     0.008     0.002
AUT  1971    29     0.912     0.545     0.292     0.061     0.011     0.003
AUT  1971    30     1.005     0.584     0.330     0.073     0.014     0.003
AUT  1971    31     1.094     0.620     0.366     0.086     0.017     0.005
AUT  1971    32     1.178     0.652     0.400     0.100     0.021     0.006
AUT  1971    33     1.254     0.678     0.431     0.113     0.025     0.007
AUT  1971    34     1.324     0.701     0.460     0.126     0.029     0.009
AUT  1971    35     1.387     0.721     0.484     0.138     0.033     0.010
AUT  1971    36     1.439     0.738     0.504     0.149     0.036     0.012
AUT  1971    37     1.487     0.752     0.523     0.159     0.040     0.014
AUT  1971    38     1.525     0.763     0.537     0.167     0.043     0.016
AUT  1971    39     1.557     0.773     0.548     0.173     0.045     0.017
AUT  1971    40         .         .         .         .         .         .
AUT  1971    41         .         .         .         .         .         .
AUT  1971    42         .         .         .         .         .         .
AUT  1971    43         .         .         .         .         .         .
AUT  1971    44         .         .         .         .         .         .
AUT  1971    45         .         .         .         .         .         .
AUT  1971    46         .         .         .         .         .         .
AUT  1971    47         .         .         .         .         .         .
AUT  1971    48         .         .         .         .         .         .
AUT  1971    49         .         .         .         .         .         .
AUT  1971    50         .         .         .         .         .         .
AUT  1971    51         .         .         .         .         .         .
AUT  1971    52         .         .         .         .         .         .
AUT  1971    53         .         .         .         .         .         .
AUT  1971    54         .         .         .         .         .         .
AUT  1971    55         .         .         .         .         .         .
AUT  1972    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1972    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1972    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1972    15     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1972    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1972    17     0.009     0.008     0.000     0.000     0.000     0.000
AUT  1972    18     0.025     0.024     0.001     0.000     0.000     0.000
AUT  1972    19     0.057     0.052     0.005     0.000     0.000     0.000
