Cumulative cohort fertility rates by birth order (horizontal parallelograms
Last modified: 25/09/2014
Code Cohort  Age     CCFR     CCFR1     CCFR2     CCFR3     CCFR4    CCFR5p
BLR  1987    38         .         .         .         .         .         .
BLR  1987    39         .         .         .         .         .         .
BLR  1987    40         .         .         .         .         .         .
BLR  1987    41         .         .         .         .         .         .
BLR  1987    42         .         .         .         .         .         .
BLR  1987    43         .         .         .         .         .         .
BLR  1987    44         .         .         .         .         .         .
BLR  1987    45         .         .         .         .         .         .
BLR  1987    46         .         .         .         .         .         .
BLR  1987    47         .         .         .         .         .         .
BLR  1987    48         .         .         .         .         .         .
BLR  1987    49         .         .         .         .         .         .
BLR  1987    50         .         .         .         .         .         .
BLR  1987    51         .         .         .         .         .         .
BLR  1987    52         .         .         .         .         .         .
BLR  1987    53         .         .         .         .         .         .
BLR  1987    54         .         .         .         .         .         .
BLR  1987    55         .         .         .         .         .         .
BLR  1988    12     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1988    13     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1988    14     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1988    15     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1988    16     0.001     0.001     0.000     0.000     0.000     0.000
BLR  1988    17     0.007     0.007     0.000     0.000     0.000     0.000
BLR  1988    18     0.021     0.020     0.001     0.000     0.000     0.000
BLR  1988    19     0.051     0.048     0.002     0.000     0.000     0.000
BLR  1988    20     0.103     0.096     0.006     0.000     0.000     0.000
BLR  1988    21     0.175     0.160     0.013     0.001     0.000     0.000
BLR  1988    22     0.257     0.230     0.025     0.002     0.000     0.000
BLR  1988    23     0.345     0.298     0.043     0.004     0.000     0.000
BLR  1988    24     0.446     0.371     0.067     0.007     0.001     0.000
BLR  1988    25         .         .         .         .         .         .
BLR  1988    26         .         .         .         .         .         .
BLR  1988    27         .         .         .         .         .         .
BLR  1988    28         .         .         .         .         .         .
BLR  1988    29         .         .         .         .         .         .
BLR  1988    30         .         .         .         .         .         .
BLR  1988    31         .         .         .         .         .         .
BLR  1988    32         .         .         .         .         .         .
BLR  1988    33         .         .         .         .         .         .
BLR  1988    34         .         .         .         .         .         .
BLR  1988    35         .         .         .         .         .         .
BLR  1988    36         .         .         .         .         .         .
BLR  1988    37         .         .         .         .         .         .
BLR  1988    38         .         .         .         .         .         .
BLR  1988    39         .         .         .         .         .         .
BLR  1988    40         .         .         .         .         .         .
BLR  1988    41         .         .         .         .         .         .
BLR  1988    42         .         .         .         .         .         .
BLR  1988    43         .         .         .         .         .         .
BLR  1988    44         .         .         .         .         .         .
BLR  1988    45         .         .         .         .         .         .
BLR  1988    46         .         .         .         .         .         .
BLR  1988    47         .         .         .         .         .         .
BLR  1988    48         .         .         .         .         .         .
BLR  1988    49         .         .         .         .         .         .
BLR  1988    50         .         .         .         .         .         .
BLR  1988    51         .         .         .         .         .         .
BLR  1988    52         .         .         .         .         .         .
BLR  1988    53         .         .         .         .         .         .
BLR  1988    54         .         .         .         .         .         .
BLR  1988    55         .         .         .         .         .         .
BLR  1989    12     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1989    13     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1989    14     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1989    15     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1989    16     0.001     0.001     0.000     0.000     0.000     0.000
BLR  1989    17     0.006     0.006     0.000     0.000     0.000     0.000
BLR  1989    18     0.020     0.020     0.001     0.000     0.000     0.000
BLR  1989    19     0.050     0.048     0.002     0.000     0.000     0.000
BLR  1989    20     0.102     0.096     0.006     0.000     0.000     0.000
BLR  1989    21     0.170     0.155     0.013     0.001     0.000     0.000
BLR  1989    22     0.247     0.220     0.026     0.002     0.000     0.000
BLR  1989    23     0.336     0.288     0.044     0.004     0.001     0.000
BLR  1989    24         .         .         .         .         .         .
BLR  1989    25         .         .         .         .         .         .
BLR  1989    26         .         .         .         .         .         .
BLR  1989    27         .         .         .         .         .         .
BLR  1989    28         .         .         .         .         .         .
BLR  1989    29         .         .         .         .         .         .
BLR  1989    30         .         .         .         .         .         .
BLR  1989    31         .         .         .         .         .         .
BLR  1989    32         .         .         .         .         .         .
BLR  1989    33         .         .         .         .         .         .
BLR  1989    34         .         .         .         .         .         .
BLR  1989    35         .         .         .         .         .         .
BLR  1989    36         .         .         .         .         .         .
BLR  1989    37         .         .         .         .         .         .
BLR  1989    38         .         .         .         .         .         .
BLR  1989    39         .         .         .         .         .         .
BLR  1989    40         .         .         .         .         .         .
BLR  1989    41         .         .         .         .         .         .
BLR  1989    42         .         .         .         .         .         .
BLR  1989    43         .         .         .         .         .         .
BLR  1989    44         .         .         .         .         .         .
BLR  1989    45         .         .         .         .         .         .
BLR  1989    46         .         .         .         .         .         .
BLR  1989    47         .         .         .         .         .         .
BLR  1989    48         .         .         .         .         .         .
BLR  1989    49         .         .         .         .         .         .
BLR  1989    50         .         .         .         .         .         .
BLR  1989    51         .         .         .         .         .         .
BLR  1989    52         .         .         .         .         .         .
BLR  1989    53         .         .         .         .         .         .
BLR  1989    54         .         .         .         .         .         .
BLR  1989    55         .         .         .         .         .         .
BLR  1990    12     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1990    13     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1990    14     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1990    15     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1990    16     0.001     0.001     0.000     0.000     0.000     0.000
BLR  1990    17     0.006     0.006     0.000     0.000     0.000     0.000
BLR  1990    18     0.020     0.020     0.001     0.000     0.000     0.000
BLR  1990    19     0.051     0.049     0.002     0.000     0.000     0.000
BLR  1990    20     0.101     0.094     0.006     0.000     0.000     0.000
BLR  1990    21     0.166     0.151     0.014     0.001     0.000     0.000
BLR  1990    22     0.246     0.217     0.027     0.002     0.000     0.000
BLR  1990    23         .         .         .         .         .         .
BLR  1990    24         .         .         .         .         .         .
BLR  1990    25         .         .         .         .         .         .
BLR  1990    26         .         .         .         .         .         .
BLR  1990    27         .         .         .         .         .         .
BLR  1990    28         .         .         .         .         .         .
BLR  1990    29         .         .         .         .         .         .
BLR  1990    30         .         .         .         .         .         .
BLR  1990    31         .         .         .         .         .         .
BLR  1990    32         .         .         .         .         .         .
BLR  1990    33         .         .         .         .         .         .
BLR  1990    34         .         .         .         .         .         .
BLR  1990    35         .         .         .         .         .         .
BLR  1990    36         .         .         .         .         .         .
BLR  1990    37         .         .         .         .         .         .
BLR  1990    38         .         .         .         .         .         .
BLR  1990    39         .         .         .         .         .         .
BLR  1990    40         .         .         .         .         .         .
BLR  1990    41         .         .         .         .         .         .
BLR  1990    42         .         .         .         .         .         .
BLR  1990    43         .         .         .         .         .         .
BLR  1990    44         .         .         .         .         .         .
BLR  1990    45         .         .         .         .         .         .
BLR  1990    46         .         .         .         .         .         .
BLR  1990    47         .         .         .         .         .         .
BLR  1990    48         .         .         .         .         .         .
BLR  1990    49         .         .         .         .         .         .
BLR  1990    50         .         .         .         .         .         .
BLR  1990    51         .         .         .         .         .         .
BLR  1990    52         .         .         .         .         .         .
BLR  1990    53         .         .         .         .         .         .
BLR  1990    54         .         .         .         .         .         .
BLR  1990    55         .         .         .         .         .         .
BLR  1991    12     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1991    13     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1991    14     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1991    15     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1991    16     0.001     0.001     0.000     0.000     0.000     0.000
BLR  1991    17     0.006     0.006     0.000     0.000     0.000     0.000
BLR  1991    18     0.021     0.021     0.000     0.000     0.000     0.000
BLR  1991    19     0.050     0.048     0.002     0.000     0.000     0.000
BLR  1991    20     0.097     0.090     0.006     0.000     0.000     0.000
BLR  1991    21     0.163     0.148     0.014     0.001     0.000     0.000
BLR  1991    22         .         .         .         .         .         .
BLR  1991    23         .         .         .         .         .         .
BLR  1991    24         .         .         .         .         .         .
BLR  1991    25         .         .         .         .         .         .
BLR  1991    26         .         .         .         .         .         .
BLR  1991    27         .         .         .         .         .         .
BLR  1991    28         .         .         .         .         .         .
BLR  1991    29         .         .         .         .         .         .
BLR  1991    30         .         .         .         .         .         .
BLR  1991    31         .         .         .         .         .         .
BLR  1991    32         .         .         .         .         .         .
BLR  1991    33         .         .         .         .         .         .
BLR  1991    34         .         .         .         .         .         .
BLR  1991    35         .         .         .         .         .         .
BLR  1991    36         .         .         .         .         .         .
BLR  1991    37         .         .         .         .         .         .
BLR  1991    38         .         .         .         .         .         .
BLR  1991    39         .         .         .         .         .         .
BLR  1991    40         .         .         .         .         .         .
BLR  1991    41         .         .         .         .         .         .
BLR  1991    42         .         .         .         .         .         .
BLR  1991    43         .         .         .         .         .         .
BLR  1991    44         .         .         .         .         .         .
BLR  1991    45         .         .         .         .         .         .
BLR  1991    46         .         .         .         .         .         .
BLR  1991    47         .         .         .         .         .         .
BLR  1991    48         .         .         .         .         .         .
BLR  1991    49         .         .         .         .         .         .
BLR  1991    50         .         .         .         .         .         .
BLR  1991    51         .         .         .         .         .         .
BLR  1991    52         .         .         .         .         .         .
BLR  1991    53         .         .         .         .         .         .
BLR  1991    54         .         .         .         .         .         .
BLR  1991    55         .         .         .         .         .         .
BLR  1992    12     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1992    13     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1992    14     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1992    15     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1992    16     0.002     0.002     0.000     0.000     0.000     0.000
BLR  1992    17     0.007     0.007     0.000     0.000     0.000     0.000
BLR  1992    18     0.021     0.021     0.001     0.000     0.000     0.000
BLR  1992    19     0.049     0.047     0.002     0.000     0.000     0.000
BLR  1992    20     0.097     0.090     0.007     0.000     0.000     0.000
BLR  1992    21         .         .         .         .         .         .
BLR  1992    22         .         .         .         .         .         .
BLR  1992    23         .         .         .         .         .         .
BLR  1992    24         .         .         .         .         .         .
BLR  1992    25         .         .         .         .         .         .
BLR  1992    26         .         .         .         .         .         .
BLR  1992    27         .         .         .         .         .         .
BLR  1992    28         .         .         .         .         .         .
BLR  1992    29         .         .         .         .         .         .
BLR  1992    30         .         .         .         .         .         .
BLR  1992    31         .         .         .         .         .         .
BLR  1992    32         .         .         .         .         .         .
BLR  1992    33         .         .         .         .         .         .
BLR  1992    34         .         .         .         .         .         .
BLR  1992    35         .         .         .         .         .         .
BLR  1992    36         .         .         .         .         .         .
BLR  1992    37         .         .         .         .         .         .
BLR  1992    38         .         .         .         .         .         .
BLR  1992    39         .         .         .         .         .         .
BLR  1992    40         .         .         .         .         .         .
BLR  1992    41         .         .         .         .         .         .
BLR  1992    42         .         .         .         .         .         .
BLR  1992    43         .         .         .         .         .         .
BLR  1992    44         .         .         .         .         .         .
BLR  1992    45         .         .         .         .         .         .
BLR  1992    46         .         .         .         .         .         .
BLR  1992    47         .         .         .         .         .         .
BLR  1992    48         .         .         .         .         .         .
BLR  1992    49         .         .         .         .         .         .
BLR  1992    50         .         .         .         .         .         .
BLR  1992    51         .         .         .         .         .         .
BLR  1992    52         .         .         .         .         .         .
BLR  1992    53         .         .         .         .         .         .
BLR  1992    54         .         .         .         .         .         .
BLR  1992    55         .         .         .         .         .         .
BLR  1993    12     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1993    13     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1993    14     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1993    15     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1993    16     0.002     0.002     0.000     0.000     0.000     0.000
BLR  1993    17     0.007     0.007     0.000     0.000     0.000     0.000
BLR  1993    18     0.021     0.021     0.001     0.000     0.000     0.000
BLR  1993    19     0.051     0.048     0.003     0.000     0.000     0.000
BLR  1993    20         .         .         .         .         .         .
BLR  1993    21         .         .         .         .         .         .
BLR  1993    22         .         .         .         .         .         .
BLR  1993    23         .         .         .         .         .         .
BLR  1993    24         .         .         .         .         .         .
BLR  1993    25         .         .         .         .         .         .
BLR  1993    26         .         .         .         .         .         .
BLR  1993    27         .         .         .         .         .         .
BLR  1993    28         .         .         .         .         .         .
BLR  1993    29         .         .         .         .         .         .
BLR  1993    30         .         .         .         .         .         .
BLR  1993    31         .         .         .         .         .         .
BLR  1993    32         .         .         .         .         .         .
BLR  1993    33         .         .         .         .         .         .
BLR  1993    34         .         .         .         .         .         .
BLR  1993    35         .         .         .         .         .         .
BLR  1993    36         .         .         .         .         .         .
BLR  1993    37         .         .         .         .         .         .
BLR  1993    38         .         .         .         .         .         .
BLR  1993    39         .         .         .         .         .         .
BLR  1993    40         .         .         .         .         .         .
BLR  1993    41         .         .         .         .         .         .
BLR  1993    42         .         .         .         .         .         .
BLR  1993    43         .         .         .         .         .         .
BLR  1993    44         .         .         .         .         .         .
BLR  1993    45         .         .         .         .         .         .
BLR  1993    46         .         .         .         .         .         .
BLR  1993    47         .         .         .         .         .         .
BLR  1993    48         .         .         .         .         .         .
BLR  1993    49         .         .         .         .         .         .
BLR  1993    50         .         .         .         .         .         .
BLR  1993    51         .         .         .         .         .         .
BLR  1993    52         .         .         .         .         .         .
BLR  1993    53         .         .         .         .         .         .
BLR  1993    54         .         .         .         .         .         .
BLR  1993    55         .         .         .         .         .         .
BLR  1994    12     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1994    13     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1994    14     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1994    15     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1994    16     0.002     0.002     0.000     0.000     0.000     0.000
BLR  1994    17     0.007     0.007     0.000     0.000     0.000     0.000
BLR  1994    18     0.021     0.020     0.001     0.000     0.000     0.000
BLR  1994    19         .         .         .         .         .         .
BLR  1994    20         .         .         .         .         .         .
BLR  1994    21         .         .         .         .         .         .
BLR  1994    22         .         .         .         .         .         .
BLR  1994    23         .         .         .         .         .         .
BLR  1994    24         .         .         .         .         .         .
BLR  1994    25         .         .         .         .         .         .
BLR  1994    26         .         .         .         .         .         .
BLR  1994    27         .         .         .         .         .         .
BLR  1994    28         .         .         .         .         .         .
BLR  1994    29         .         .         .         .         .         .
BLR  1994    30         .         .         .         .         .         .
BLR  1994    31         .         .         .         .         .         .
BLR  1994    32         .         .         .         .         .         .
BLR  1994    33         .         .         .         .         .         .
BLR  1994    34         .         .         .         .         .         .
BLR  1994    35         .         .         .         .         .         .
BLR  1994    36         .         .         .         .         .         .
BLR  1994    37         .         .         .         .         .         .
BLR  1994    38         .         .         .         .         .         .
BLR  1994    39         .         .         .         .         .         .
BLR  1994    40         .         .         .         .         .         .
BLR  1994    41         .         .         .         .         .         .
BLR  1994    42         .         .         .         .         .         .
BLR  1994    43         .         .         .         .         .         .
BLR  1994    44         .         .         .         .         .         .
BLR  1994    45         .         .         .         .         .         .
BLR  1994    46         .         .         .         .         .         .
BLR  1994    47         .         .         .         .         .         .
BLR  1994    48         .         .         .         .         .         .
BLR  1994    49         .         .         .         .         .         .
BLR  1994    50         .         .         .         .         .         .
BLR  1994    51         .         .         .         .         .         .
BLR  1994    52         .         .         .         .         .         .
BLR  1994    53         .         .         .         .         .         .
BLR  1994    54         .         .         .         .         .         .
BLR  1994    55         .         .         .         .         .         .
BLR  1995    12     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1995    13     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1995    14     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1995    15     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1995    16     0.002     0.002     0.000     0.000     0.000     0.000
BLR  1995    17     0.007     0.007     0.000     0.000     0.000     0.000
BLR  1995    18         .         .         .         .         .         .
BLR  1995    19         .         .         .         .         .         .
BLR  1995    20         .         .         .         .         .         .
BLR  1995    21         .         .         .         .         .         .
BLR  1995    22         .         .         .         .         .         .
BLR  1995    23         .         .         .         .         .         .
BLR  1995    24         .         .         .         .         .         .
BLR  1995    25         .         .         .         .         .         .
BLR  1995    26         .         .         .         .         .         .
BLR  1995    27         .         .         .         .         .         .
BLR  1995    28         .         .         .         .         .         .
BLR  1995    29         .         .         .         .         .         .
BLR  1995    30         .         .         .         .         .         .
BLR  1995    31         .         .         .         .         .         .
BLR  1995    32         .         .         .         .         .         .
BLR  1995    33         .         .         .         .         .         .
BLR  1995    34         .         .         .         .         .         .
BLR  1995    35         .         .         .         .         .         .
BLR  1995    36         .         .         .         .         .         .
BLR  1995    37         .         .         .         .         .         .
BLR  1995    38         .         .         .         .         .         .
BLR  1995    39         .         .         .         .         .         .
BLR  1995    40         .         .         .         .         .         .
BLR  1995    41         .         .         .         .         .         .
BLR  1995    42         .         .         .         .         .         .
BLR  1995    43         .         .         .         .         .         .
BLR  1995    44         .         .         .         .         .         .
BLR  1995    45         .         .         .         .         .         .
BLR  1995    46         .         .         .         .         .         .
BLR  1995    47         .         .         .         .         .         .
BLR  1995    48         .         .         .         .         .         .
BLR  1995    49         .         .         .         .         .         .
BLR  1995    50         .         .         .         .         .         .
BLR  1995    51         .         .         .         .         .         .
BLR  1995    52         .         .         .         .         .         .
BLR  1995    53         .         .         .         .         .         .
BLR  1995    54         .         .         .         .         .         .
BLR  1995    55         .         .         .         .         .         .
BLR  1996    12     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1996    13     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1996    14     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1996    15     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1996    16     0.002     0.002     0.000     0.000     0.000     0.000
BLR  1996    17         .         .         .         .         .         .
BLR  1996    18         .         .         .         .         .         .
BLR  1996    19         .         .         .         .         .         .
BLR  1996    20         .         .         .         .         .         .
BLR  1996    21         .         .         .         .         .         .
BLR  1996    22         .         .         .         .         .         .
BLR  1996    23         .         .         .         .         .         .
BLR  1996    24         .         .         .         .         .         .
BLR  1996    25         .         .         .         .         .         .
BLR  1996    26         .         .         .         .         .         .
BLR  1996    27         .         .         .         .         .         .
BLR  1996    28         .         .         .         .         .         .
BLR  1996    29         .         .         .         .         .         .
BLR  1996    30         .         .         .         .         .         .
BLR  1996    31         .         .         .         .         .         .
BLR  1996    32         .         .         .         .         .         .
BLR  1996    33         .         .         .         .         .         .
BLR  1996    34         .         .         .         .         .         .
BLR  1996    35         .         .         .         .         .         .
BLR  1996    36         .         .         .         .         .         .
BLR  1996    37         .         .         .         .         .         .
BLR  1996    38         .         .         .         .         .         .
BLR  1996    39         .         .         .         .         .         .
BLR  1996    40         .         .         .         .         .         .
BLR  1996    41         .         .         .         .         .         .
BLR  1996    42         .         .         .         .         .         .
BLR  1996    43         .         .         .         .         .         .
BLR  1996    44         .         .         .         .         .         .
BLR  1996    45         .         .         .         .         .         .
BLR  1996    46         .         .         .         .         .         .
BLR  1996    47         .         .         .         .         .         .
BLR  1996    48         .         .         .         .         .         .
BLR  1996    49         .         .         .         .         .         .
BLR  1996    50         .         .         .         .         .         .
BLR  1996    51         .         .         .         .         .         .
BLR  1996    52         .         .         .         .         .         .
BLR  1996    53         .         .         .         .         .         .
BLR  1996    54         .         .         .         .         .         .
BLR  1996    55         .         .         .         .         .         .
BLR  1997    12     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1997    13     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1997    14     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1997    15     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1997    16         .         .         .         .         .         .
BLR  1997    17         .         .         .         .         .         .
BLR  1997    18         .         .         .         .         .         .
BLR  1997    19         .         .         .         .         .         .
BLR  1997    20         .         .         .         .         .         .
BLR  1997    21         .         .         .         .         .         .
BLR  1997    22         .         .         .         .         .         .
BLR  1997    23         .         .         .         .         .         .
BLR  1997    24         .         .         .         .         .         .
BLR  1997    25         .         .         .         .         .         .
BLR  1997    26         .         .         .         .         .         .
BLR  1997    27         .         .         .         .         .         .
BLR  1997    28         .         .         .         .         .         .
BLR  1997    29         .         .         .         .         .         .
BLR  1997    30         .         .         .         .         .         .
BLR  1997    31         .         .         .         .         .         .
BLR  1997    32         .         .         .         .         .         .
BLR  1997    33         .         .         .         .         .         .
BLR  1997    34         .         .         .         .         .         .
BLR  1997    35         .         .         .         .         .         .
BLR  1997    36         .         .         .         .         .         .
BLR  1997    37         .         .         .         .         .         .
BLR  1997    38         .         .         .         .         .         .
BLR  1997    39         .         .         .         .         .         .
BLR  1997    40         .         .         .         .         .         .
BLR  1997    41         .         .         .         .         .         .
BLR  1997    42         .         .         .         .         .         .
BLR  1997    43         .         .         .         .         .         .
BLR  1997    44         .         .         .         .         .         .
BLR  1997    45         .         .         .         .         .         .
BLR  1997    46         .         .         .         .         .         .
BLR  1997    47         .         .         .         .         .         .
BLR  1997    48         .         .         .         .         .         .
BLR  1997    49         .         .         .         .         .         .
BLR  1997    50         .         .         .         .         .         .
BLR  1997    51         .         .         .         .         .         .
BLR  1997    52         .         .         .         .         .         .
BLR  1997    53         .         .         .         .         .         .
BLR  1997    54         .         .         .         .         .         .
BLR  1997    55         .         .         .         .         .         .
BLR  1998    12     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1998    13     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1998    14     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1998    15         .         .         .         .         .         .
BLR  1998    16         .         .         .         .         .         .
BLR  1998    17         .         .         .         .         .         .
BLR  1998    18         .         .         .         .         .         .
BLR  1998    19         .         .         .         .         .         .
BLR  1998    20         .         .         .         .         .         .
BLR  1998    21         .         .         .         .         .         .
BLR  1998    22         .         .         .         .         .         .
BLR  1998    23         .         .         .         .         .         .
BLR  1998    24         .         .         .         .         .         .
BLR  1998    25         .         .         .         .         .         .
BLR  1998    26         .         .         .         .         .         .
BLR  1998    27         .         .         .         .         .         .
BLR  1998    28         .         .         .         .         .         .
BLR  1998    29         .         .         .         .         .         .
BLR  1998    30         .         .         .         .         .         .
BLR  1998    31         .         .         .         .         .         .
BLR  1998    32         .         .         .         .         .         .
BLR  1998    33         .         .         .         .         .         .
BLR  1998    34         .         .         .         .         .         .
BLR  1998    35         .         .         .         .         .         .
BLR  1998    36         .         .         .         .         .         .
BLR  1998    37         .         .         .         .         .         .
BLR  1998    38         .         .         .         .         .         .
BLR  1998    39         .         .         .         .         .         .
BLR  1998    40         .         .         .         .         .         .
BLR  1998    41         .         .         .         .         .         .
BLR  1998    42         .         .         .         .         .         .
BLR  1998    43         .         .         .         .         .         .
BLR  1998    44         .         .         .         .         .         .
BLR  1998    45         .         .         .         .         .         .
BLR  1998    46         .         .         .         .         .         .
BLR  1998    47         .         .         .         .         .         .
BLR  1998    48         .         .         .         .         .         .
BLR  1998    49         .         .         .         .         .         .
BLR  1998    50         .         .         .         .         .         .
BLR  1998    51         .         .         .         .         .         .
BLR  1998    52         .         .         .         .         .         .
BLR  1998    53         .         .         .         .         .         .
BLR  1998    54         .         .         .         .         .         .
BLR  1998    55         .         .         .         .         .         .
BLR  1999    12     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1999    13     0.000     0.000     0.000     0.000     0.000     0.000
BLR  1999    14         .         .         .         .         .         .
BLR  1999    15         .         .         .         .         .         .
BLR  1999    16         .         .         .         .         .         .
BLR  1999    17         .         .         .         .         .         .
BLR  1999    18         .         .         .         .         .         .
BLR  1999    19         .         .         .         .         .         .
BLR  1999    20         .         .         .         .         .         .
BLR  1999    21         .         .         .         .         .         .
BLR  1999    22         .         .         .         .         .         .
BLR  1999    23         .         .         .         .         .         .
BLR  1999    24         .         .         .         .         .         .
BLR  1999    25         .         .         .         .         .         .
BLR  1999    26         .         .         .         .         .         .
BLR  1999    27         .         .         .         .         .         .
BLR  1999    28         .         .         .         .         .         .
BLR  1999    29         .         .         .         .         .         .
BLR  1999    30         .         .         .         .         .         .
BLR  1999    31         .         .         .         .         .         .
BLR  1999    32         .         .         .         .         .         .
BLR  1999    33         .         .         .         .         .         .
BLR  1999    34         .         .         .         .         .         .
BLR  1999    35         .         .         .         .         .         .
BLR  1999    36         .         .         .         .         .         .
BLR  1999    37         .         .         .         .         .         .
BLR  1999    38         .         .         .         .         .         .
BLR  1999    39         .         .         .         .         .         .
BLR  1999    40         .         .         .         .         .         .
BLR  1999    41         .         .         .         .         .         .
BLR  1999    42         .         .         .         .         .         .
BLR  1999    43         .         .         .         .         .         .
BLR  1999    44         .         .         .         .         .         .
BLR  1999    45         .         .         .         .         .         .
BLR  1999    46         .         .         .         .         .         .
BLR  1999    47         .         .         .         .         .         .
BLR  1999    48         .         .         .         .         .         .
BLR  1999    49         .         .         .         .         .         .
BLR  1999    50         .         .         .         .         .         .
BLR  1999    51         .         .         .         .         .         .
BLR  1999    52         .         .         .         .         .         .
BLR  1999    53         .         .         .         .         .         .
BLR  1999    54         .         .         .         .         .         .
BLR  1999    55         .         .         .         .         .         .
BGR  1932    12         .         .         .         .         .         .
BGR  1932    13         .         .         .         .         .         .
BGR  1932    14         .         .         .         .         .         .
BGR  1932    15     0.000     0.000     0.000     0.000     0.000     0.000
BGR  1932    16     0.006     0.006     0.000     0.000     0.000     0.000
BGR  1932    17     0.026     0.025     0.001     0.000     0.000     0.000
BGR  1932    18     0.071     0.068     0.003     0.000     0.000     0.000
BGR  1932    19     0.149     0.138     0.011     0.000     0.000     0.000
BGR  1932    20     0.262     0.230     0.028     0.003     0.001     0.000
BGR  1932    21     0.415     0.348     0.058     0.008     0.001     0.000
BGR  1932    22     0.589     0.466     0.103     0.017     0.003     0.000
BGR  1932    23     0.770     0.571     0.163     0.030     0.004     0.001
BGR  1932    24     0.954     0.662     0.237     0.048     0.007     0.001
BGR  1932    25     1.131     0.730     0.315     0.068     0.013     0.005
BGR  1932    26     1.289     0.777     0.391     0.091     0.022     0.009
BGR  1932    27     1.421     0.809     0.457     0.111     0.030     0.013
BGR  1932    28     1.536     0.832     0.515     0.130     0.039     0.019
BGR  1932    29     1.636     0.850     0.566     0.147     0.048     0.025
BGR  1932    30     1.722     0.863     0.608     0.162     0.056     0.033
BGR  1932    31     1.794     0.872     0.642     0.175     0.063     0.041
BGR  1932    32     1.850     0.880     0.667     0.185     0.069     0.049
BGR  1932    33     1.896     0.885     0.686     0.193     0.074     0.057
BGR  1932    34     1.930     0.890     0.698     0.199     0.077     0.065
BGR  1932    35     1.956     0.894     0.707     0.203     0.080     0.072
BGR  1932    36     1.978     0.897     0.714     0.207     0.083     0.078
BGR  1932    37     1.997     0.899     0.719     0.211     0.085     0.083
BGR  1932    38     2.012     0.901     0.723     0.214     0.086     0.087
BGR  1932    39     2.022     0.902     0.725     0.217     0.087     0.091
BGR  1932    40     2.030     0.904     0.727     0.218     0.088     0.093
BGR  1932    41     2.035     0.904     0.728     0.219     0.088     0.095
BGR  1932    42     2.039     0.905     0.729     0.220     0.089     0.097
BGR  1932    43     2.042     0.905     0.730     0.220     0.089     0.098
BGR  1932    44     2.044     0.906     0.730     0.220     0.089     0.099
BGR  1932    45     2.044     0.906     0.730     0.220     0.089     0.099
BGR  1932    46     2.045     0.906     0.730     0.220     0.089     0.099
BGR  1932    47     2.045     0.906     0.730     0.220     0.089     0.100
BGR  1932    48     2.045     0.906     0.730     0.220     0.089     0.100
BGR  1932    49     2.045     0.906     0.730     0.220     0.089     0.100
BGR  1932    50     2.045     0.906     0.730     0.220     0.089     0.100
BGR  1932    51     2.045     0.906     0.730     0.220     0.089     0.100
BGR  1932    52     2.045     0.906     0.730     0.220     0.089     0.100
BGR  1932    53     2.045     0.906     0.730     0.220     0.089     0.100
