Census-based period fertility tables, birth orders 1 to 5+
Last modified: 25/09/2014
Code Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
AUT  1991    29   0.31184   0.09325   0.08910    3934    350    3758   6066   0.28962   0.13008   0.12213   2939    382    2934   3128   0.30196   0.05261   0.05126   2480    137    2596    648   0.07737   0.05871   0.05704    540     35     588    109   0.01921   0.07703   0.07417    109     10     124     22
AUT  1991    30   0.27666   0.08919   0.08538    3583    306    3430   6417   0.28157   0.11514   0.10888   2907    334    2902   3510   0.32389   0.04912   0.04794   2725    138    2818    785   0.09280   0.04939   0.04820    642     34     692    143   0.02508   0.06398   0.06199    143     10     158     31
AUT  1991    31   0.24716   0.07389   0.07126    3277    234    3160   6723   0.27360   0.10124   0.09636   2879    289    2857   3844   0.34125   0.04630   0.04526   2921    139    2993    923   0.10640   0.05171   0.05041    746     41     793    177   0.03159   0.06683   0.06467    177     13     196     41
AUT  1991    32   0.22557   0.06430   0.06229    3044    190    2949   6956   0.26652   0.08110   0.07794   2823    228    2808   4133   0.35356   0.04298   0.04207   3071    134    3117   1062   0.11712   0.04807   0.04694    844     43     888    218   0.03723   0.05836   0.05671    218     14     238     54
AUT  1991    33   0.20697   0.05624   0.05470    2854    156    2776   7146   0.26141   0.07117   0.06873   2785    197    2768   4361   0.36107   0.03630   0.03565   3165    116    3204   1196   0.12771   0.04438   0.04342    935     43     971    261   0.04284   0.04961   0.04841    261     14     281     68
AUT  1991    34   0.19218   0.04472   0.04374    2698    118    2639   7302   0.25430   0.05650   0.05495   2744    154    2728   4558   0.36704   0.03276   0.03223   3246    107    3269   1312   0.13696   0.03311   0.03257   1008     35    1044    304   0.04952   0.04081   0.04000    304     13     320     82
AUT  1991    35   0.17990   0.03718   0.03650    2580     94    2533   7420   0.24661   0.04254   0.04165   2708    115    2699   4712   0.37096   0.02444   0.02414   3293     81    3309   1419   0.14546   0.02735   0.02698   1081     30    1106    339   0.05707   0.04379   0.04286    339     15     353     95
AUT  1991    36   0.16743   0.03041   0.02996    2486     74    2448   7514   0.24338   0.03677   0.03611   2688     98    2676   4827   0.37147   0.01935   0.01917   3327     65    3343   1500   0.15383   0.02422   0.02393   1131     28    1150    369   0.06388   0.03019   0.02974    369     12     382    111
AUT  1991    37   0.15656   0.02286   0.02260    2411     54    2384   7589   0.24120   0.02655   0.02620   2664     71    2656   4925   0.37065   0.01493   0.01482   3360     50    3370   1565   0.16023   0.01859   0.01842   1168     22    1182    397   0.07136   0.03091   0.03044    397     13     407    122
AUT  1991    38   0.14855   0.01735   0.01720    2357     41    2336   7643   0.23869   0.01682   0.01668   2648     44    2646   4996   0.37220   0.01110   0.01104   3381     38    3384   1615   0.16227   0.01770   0.01755   1196     21    1205    419   0.07829   0.02890   0.02849    419     12     429    135
AUT  1991    39   0.14160   0.01067   0.01061    2316     25    2304   7684   0.23621   0.01066   0.01060   2644     28    2642   5040   0.37317   0.00885   0.00881   3388     30    3387   1653   0.16546   0.01315   0.01306   1213     16    1220    440   0.08356   0.02218   0.02194    440     10     448    147
AUT  1991    40   0.13483   0.00745   0.00743    2292     17    2283   7708   0.23462   0.00651   0.00649   2640     17    2640   5068   0.36943   0.00511   0.00510   3386     17    3386   1683   0.16920   0.00843   0.00840   1227     10    1230    456   0.09193   0.01574   0.01562    456      7     461    157
AUT  1991    41   0.12957   0.00538   0.00536    2275     12    2269   7725   0.23304   0.00478   0.00477   2640     13    2640   5085   0.36779   0.00346   0.00346   3386     12    3386   1700   0.17156   0.00650   0.00648   1233      8    1235    466   0.09804   0.01116   0.01110    466      5     470    164
AUT  1991    42   0.12728   0.00222   0.00222    2262      5    2260   7738   0.23362   0.00137   0.00137   2640      4    2640   5098   0.36450   0.00196   0.00196   3386      7    3385   1712   0.17323   0.00358   0.00358   1237      4    1238    474   0.10138   0.00780   0.00776    474      4     477    170
