Period table mean ages at birth by birth order (based on parity distribution from population census)
Last modified: 25/09/2014
Code Year     TMAB    TMAB1    TMAB2    TMAB3    TMAB4   TMAB5p
HUN  1989    25.61    23.44    26.40    29.03    30.71    32.98
HUN  1990    25.67    23.46    26.36    28.90    30.68    32.79
HUN  1991    25.78    23.54    26.45    29.09    30.91    33.12
HUN  1992    25.92    23.84    26.61    29.16    30.93    33.00
HUN  1993    26.15    24.15    26.89    29.22    30.91    33.08
HUN  1994    26.38    24.45    27.10    29.20    30.95    32.97
HUN  1995    26.53    24.81    27.26    29.20    30.90    33.01
HUN  1996    26.72    25.19    27.57    29.34    30.71    32.77
HUN  1997    26.92    25.51    27.85    29.20    30.27    32.55
HUN  1998    27.16    25.88    28.17    29.16    30.28    32.37
HUN  1999    27.41    26.26    28.40    29.29    30.26    32.26
HUN  2000    27.62    26.44    28.56    29.38    30.30    32.04
HUN  2001    27.89    26.74    28.80    29.53    30.34    32.21
HUN  2002    28.09    26.99    29.01    29.66    30.45    32.31
HUN  2003    28.31    27.32    29.22    29.71    30.34    32.25
HUN  2004    28.55    27.53    29.56    29.98    30.52    32.42
HUN  2005    28.78    27.81    29.67    30.20    30.60    32.33
HUN  2006    28.96    28.00    29.83    30.28    30.63    32.36
HUN  2007    29.14    28.20    30.04    30.42    30.78    32.37
HUN  2008    29.16    28.21    30.03    30.37    30.58    32.25
HUN  2009    29.33    28.38    30.24    30.67    30.69    32.29
LTU  1979    26.81    23.78    27.90    31.40    32.88    34.89
LTU  1989    25.83    23.16    26.93    30.43    32.25    34.65
LTU  2001    27.02    25.29    28.82    30.98    32.18    34.29
NLD  1995    30.18    28.74    30.98    32.39    33.43    35.70
NLD  1996    30.32    28.89    31.15    32.58    33.61    35.70
NLD  1997    30.31    28.82    31.17    32.63    33.60    35.61
NLD  1998    30.35    28.80    31.22    32.68    33.52    35.63
NLD  1999    30.34    28.74    31.22    32.68    33.76    35.79
NLD  2000    30.30    28.61    31.15    32.67    33.93    35.86
NLD  2001    30.33    28.63    31.22    32.80    33.79    35.69
NLD  2002    30.36    28.65    31.21    32.79    33.92    35.92
NLD  2003    30.42    28.72    31.27    32.89    34.00    35.90
NLD  2004    30.52    28.83    31.38    33.01    34.15    35.94
NLD  2005    30.58    28.94    31.45    32.98    34.10    36.07
NLD  2006    30.63    29.02    31.44    32.97    34.16    36.06
NLD  2007    30.66    29.02    31.48    33.05    34.18    36.08
NLD  2008    30.69    29.04    31.44    33.03    34.29    36.33
NLD  2009    30.73    29.03    31.48    33.17    34.47    36.38
NOR  1985    27.62    25.56    28.49    30.98    33.29    34.92
NOR  1986    27.68    25.63    28.55    31.05    33.09    35.08
NOR  1987    27.84    25.77    28.63    31.09    33.22    35.24
NOR  1988    27.92    25.74    28.68    31.12    33.19    34.94
NOR  1989    28.03    25.78    28.74    31.21    33.08    35.16
NOR  1990    28.18    25.84    28.79    31.35    33.51    35.45
NOR  1991    28.37    26.02    29.04    31.52    33.56    35.55
NOR  1992    28.51    26.22    29.20    31.60    33.59    35.80
NOR  1993    28.68    26.38    29.37    31.88    33.82    35.73
NOR  1994    28.84    26.63    29.47    31.98    33.83    35.98
NOR  1995    28.94    26.73    29.57    32.11    34.05    35.76
NOR  1996    29.03    26.77    29.67    32.21    33.94    35.83
NOR  1997    29.18    26.99    29.84    32.27    34.16    35.89
NOR  1998    29.30    27.18    30.04    32.38    34.13    35.55
NOR  1999    29.37    27.23    30.07    32.40    34.14    35.81
NOR  2000    29.43    27.29    30.15    32.43    33.96    35.75
NOR  2001    29.56    27.51    30.35    32.61    34.16    35.68
NOR  2002    29.67    27.68    30.47    32.75    34.30    35.68
NOR  2003    29.80    27.80    30.63    32.79    34.21    35.89
NOR  2004    29.87    27.88    30.67    32.85    34.14    35.74
NOR  2005    29.91    27.97    30.69    32.75    34.20    35.85
NOR  2006    29.89    27.88    30.63    32.85    34.19    35.74
NOR  2007    29.97    27.96    30.71    32.83    34.27    35.78
NOR  2008    29.94    27.86    30.64    32.84    34.16    35.88
NOR  2009    30.00    27.92    30.69    32.88    34.17    36.05
PRT  1981    26.91    23.87    27.67    30.43    31.98    35.03
PRT  1991    27.54    25.51    29.20    31.29    32.58    34.69
RUS  1979    25.64    22.88    27.37    30.32    31.79    34.71
RUS  1989    25.43    22.52    26.75    30.27    32.31    35.11
SVK  1950    28.62    22.96    25.82    28.80    31.07    35.21
SVK  1961    26.74    22.45    25.59    28.57    30.60    33.88
SVK  1970    26.05    22.92    25.90    28.66    30.39    32.82
SVK  1980    25.30    22.70    25.33    28.22    29.98    31.96
SVK  1991    25.04    22.62    25.51    28.27    30.07    32.05
SVK  2001    27.03    25.67    28.31    29.66    29.52    31.15
SVN  1991    26.36    24.69    27.73    30.69    32.71    35.12
SWE  1970    26.96    24.34    27.51    30.95    33.27    35.51
SWE  1971    26.82    24.20    27.40    30.77    33.26    35.23
SWE  1972    26.75    24.22    27.44    30.71    33.02    35.30
SWE  1973    26.74    24.27    27.54    30.63    33.17    35.18
SWE  1974    26.70    24.32    27.49    30.51    33.01    34.90
SWE  1975    26.75    24.56    27.67    30.69    32.95    34.98
SWE  1976    26.96    24.91    27.93    30.95    33.13    35.13
SWE  1977    27.10    25.17    28.00    31.02    33.16    35.02
SWE  1978    27.34    25.51    28.22    31.03    33.04    34.65
SWE  1979    27.57    25.66    28.35    31.12    33.13    34.92
SWE  1980    27.67    25.76    28.40    31.14    33.21    35.00
SWE  1981    27.85    25.99    28.59    31.19    33.29    35.14
SWE  1982    28.01    26.19    28.70    31.25    33.41    35.15
SWE  1983    28.19    26.43    28.81    31.28    33.29    35.27
SWE  1984    28.38    26.59    28.92    31.33    33.41    35.49
SWE  1985    28.45    26.60    28.88    31.20    33.10    35.45
SWE  1986    28.47    26.56    28.86    31.19    33.21    35.33
SWE  1987    28.54    26.56    28.89    31.34    33.29    35.56
SWE  1988    28.52    26.42    28.73    31.22    33.18    35.45
SWE  1989    28.56    26.37    28.74    31.26    33.30    35.61
SWE  1990    28.55    26.23    28.61    31.18    33.15    35.37
SWE  1991    28.71    26.46    28.80    31.37    33.28    35.51
SWE  1992    28.90    26.79    29.01    31.50    33.23    35.61
SWE  1993    29.05    27.09    29.27    31.67    33.35    35.42
SWE  1994    29.22    27.37    29.55    31.95    33.65    35.78
SWE  1995    29.38    27.67    29.89    32.20    33.71    35.52
SWE  1996    29.58    27.97    30.24    32.56    33.92    35.56
SWE  1997    29.73    28.20    30.49    32.64    33.87    35.35
SWE  1998    29.99    28.47    30.72    32.87    34.00    35.56
SWE  1999    30.07    28.60    30.84    32.80    33.74    35.24
SWE  2000    30.06    28.46    30.87    32.90    33.79    35.35
SWE  2001    30.23    28.66    31.05    32.98    33.96    35.44
SWE  2002    30.23    28.58    31.05    33.03    33.95    35.28
SWE  2003    30.39    28.71    31.16    33.11    34.05    35.48
SWE  2004    30.49    28.82    31.25    33.18    34.06    35.54
SWE  2005    30.55    28.86    31.29    33.22    34.25    35.74
SWE  2006    30.58    28.82    31.27    33.30    34.38    35.63
SWE  2007    30.62    28.78    31.35    33.33    34.46    36.16
SWE  2008    30.59    28.73    31.32    33.24    34.43    35.95
SWE  2009    30.68    28.80    31.40    33.42    34.61    35.99
SWE  2010    30.72    28.82    31.38    33.38    34.47    35.98
SWE  2011    30.87    29.05    31.57    33.56    34.55    36.04
CHE  2000    29.95    28.60    30.79    32.11    33.27    35.43
UKR  1979    25.46    22.58    27.33    30.38    31.95    34.62
UKR  2001    25.48    24.09    28.02    30.02    31.19    33.52
