Crude birth rate
Last modified: 25/09/2014
Code Year      CBR
SVN  1993     9.94
SVN  1994     9.78
SVN  1995     9.54
SVN  1996     9.45
SVN  1997     9.15
SVN  1998     9.01
SVN  1999     8.84
SVN  2000     9.14
SVN  2001     8.77
SVN  2002     8.77
SVN  2003     8.68
SVN  2004     8.99
SVN  2005     9.08
SVN  2006     9.43
SVN  2007     9.82
SVN  2008    10.75
SVN  2009    10.72
SWE  1891    28.25
SWE  1892    26.83
SWE  1893    27.11
SWE  1894    26.84
SWE  1895    27.26
SWE  1896    27.02
SWE  1897    26.56
SWE  1898    27.01
SWE  1899    26.30
SWE  1900    26.98
SWE  1901    27.01
SWE  1902    26.43
SWE  1903    25.59
SWE  1904    25.61
SWE  1905    25.52
SWE  1906    25.56
SWE  1907    25.40
SWE  1908    25.58
SWE  1909    25.51
SWE  1910    24.62
SWE  1911    23.97
SWE  1912    23.74
SWE  1913    23.07
SWE  1914    22.75
SWE  1915    21.47
SWE  1916    21.10
SWE  1917    20.83
SWE  1918    20.24
SWE  1919    19.73
SWE  1920    23.60
SWE  1921    21.54
SWE  1922    19.60
SWE  1923    18.90
SWE  1924    18.08
SWE  1925    17.54
SWE  1926    16.77
SWE  1927    16.06
SWE  1928    16.01
SWE  1929    15.16
SWE  1930    15.35
SWE  1931    14.80
SWE  1932    14.54
SWE  1933    13.71
SWE  1934    13.68
SWE  1935    13.76
SWE  1936    14.21
SWE  1937    14.39
SWE  1938    14.91
SWE  1939    15.38
SWE  1940    15.06
SWE  1941    15.61
SWE  1942    17.70
SWE  1943    19.29
SWE  1944    20.55
SWE  1945    20.39
SWE  1946    19.74
SWE  1947    18.95
SWE  1948    18.44
SWE  1949    17.46
SWE  1950    16.46
SWE  1951    15.59
SWE  1952    15.48
SWE  1953    15.37
SWE  1954    14.57
SWE  1955    14.78
SWE  1956    14.77
SWE  1957    14.57
SWE  1958    14.26
SWE  1959    14.08
SWE  1960    13.66
SWE  1961    13.89
SWE  1962    14.17
SWE  1963    14.82
SWE  1964    15.97
SWE  1965    15.86
SWE  1966    15.80
SWE  1967    15.42
SWE  1968    14.27
SWE  1969    13.47
SWE  1970    13.69
SWE  1971    14.14
SWE  1972    13.84
SWE  1973    13.49
SWE  1974    13.48
SWE  1975    12.66
SWE  1976    11.97
SWE  1977    11.65
SWE  1978    11.28
SWE  1979    11.62
SWE  1980    11.70
SWE  1981    11.32
SWE  1982    11.18
SWE  1983    11.03
SWE  1984    11.27
SWE  1985    11.80
SWE  1986    12.18
SWE  1987    12.48
SWE  1988    13.32
SWE  1989    13.70
SWE  1990    14.54
SWE  1991    14.37
SWE  1992    14.11
SWE  1993    13.46
SWE  1994    12.79
SWE  1995    11.72
SWE  1996    10.79
SWE  1997    10.25
SWE  1998    10.14
SWE  1999    10.05
SWE  2000    10.29
SWE  2001    10.37
SWE  2002    10.84
SWE  2003    11.19
SWE  2004    11.34
SWE  2005    11.34
SWE  2006    11.76
SWE  2007    11.82
SWE  2008    11.92
SWE  2009    12.04
SWE  2010    12.34
SWE  2011    11.82
CHE  1932    16.74
CHE  1933    16.37
CHE  1934    16.22
CHE  1935    15.92
CHE  1936    15.51
CHE  1937    14.85
CHE  1938    15.09
CHE  1939    15.04
CHE  1940    15.05
CHE  1941    16.80
CHE  1942    18.29
CHE  1943    19.12
CHE  1944    19.56
CHE  1945    20.07
CHE  1946    19.98
CHE  1947    19.40
CHE  1948    19.16
CHE  1949    18.38
CHE  1950    18.06
CHE  1951    17.24
CHE  1952    17.36
CHE  1953    17.02
CHE  1954    16.95
CHE  1955    17.05
CHE  1956    17.35
CHE  1957    17.70
CHE  1958    17.59
CHE  1959    17.66
CHE  1960    17.71
CHE  1961    18.25
CHE  1962    18.71
CHE  1963    19.31
CHE  1964    19.49
CHE  1965    19.09
CHE  1966    18.54
CHE  1967    17.92
CHE  1968    17.32
CHE  1969    16.70
CHE  1970    16.05
CHE  1971    15.49
CHE  1972    14.59
CHE  1973    13.87
CHE  1974    13.33
CHE  1975    12.38
CHE  1976    11.77
CHE  1977    11.59
CHE  1978    11.36
CHE  1979    11.44
CHE  1980    11.66
CHE  1981    11.61
CHE  1982    11.72
CHE  1983    11.48
CHE  1984    11.60
CHE  1985    11.54
CHE  1986    11.73
CHE  1987    11.69
CHE  1988    12.19
CHE  1989    12.21
CHE  1990    12.51
CHE  1991    12.68
CHE  1992    12.64
CHE  1993    12.08
CHE  1994    11.87
CHE  1995    11.68
CHE  1996    11.74
CHE  1997    11.37
CHE  1998    11.11
CHE  1999    10.98
CHE  2000    10.92
CHE  2001    10.01
CHE  2002     9.95
CHE  2003     9.80
CHE  2004     9.90
CHE  2005     9.81
CHE  2006     9.81
CHE  2007     9.87
CHE  2008    10.04
CHE  2009    10.12
CHE  2010    10.26
CHE  2011    10.21
TWN  1976    25.89
TWN  1977    23.49
TWN  1978    24.07
TWN  1979    24.15
TWN  1980    23.13
TWN  1981    22.86
TWN  1982    21.80
TWN  1983    20.36
TWN  1984    19.43
TWN  1985    17.84
TWN  1986    15.76
TWN  1987    15.96
TWN  1988    17.25
TWN  1989    15.61
TWN  1990    16.62
TWN  1991    15.68
TWN  1992    15.60
TWN  1993    15.68
TWN  1994    15.44
TWN  1995    15.44
TWN  1996    15.20
TWN  1997    15.11
TWN  1998    12.42
TWN  1999    13.04
TWN  2000    14.01
TWN  2001    11.61
TWN  2002    10.99
TWN  2003    10.09
TWN  2004     9.62
TWN  2005     9.09
TWN  2006     9.02
TWN  2007     8.89
TWN  2008     8.54
TWN  2009     8.33
TWN  2010     7.19
GBR_NP  1974    13.10
GBR_NP  1975    12.40
GBR_NP  1976    12.01
GBR_NP  1977    11.69
GBR_NP  1978    12.22
GBR_NP  1979    13.06
GBR_NP  1980    13.38
GBR_NP  1981    12.97
GBR_NP  1982    12.77
GBR_NP  1983    12.81
GBR_NP  1984    12.93
GBR_NP  1985    13.28
GBR_NP  1986    13.32
GBR_NP  1987    13.66
GBR_NP  1988    13.83
GBR_NP  1989    13.62
GBR_NP  1990    13.95
GBR_NP  1991    13.80
GBR_NP  1992    13.56
GBR_NP  1993    13.20
GBR_NP  1994    12.97
GBR_NP  1995    12.62
GBR_NP  1996    12.61
GBR_NP  1997    12.46
GBR_NP  1998    12.26
GBR_NP  1999    11.94
GBR_NP  2000    11.54
GBR_NP  2001    11.32
GBR_NP  2002    11.27
GBR_NP  2003    11.67
GBR_NP  2004    11.94
GBR_NP  2005    11.97
GBR_NP  2006    12.31
GBR_NP  2007    12.60
GBR_NP  2008    12.86
GBR_NP  2009    12.70
GBR_NP  2010    12.87
GBR_NP  2011    12.80
GBRTENW  1938    15.08
GBRTENW  1939    14.86
GBRTENW  1940    14.17
GBRTENW  1941    13.85
GBRTENW  1942    15.53
GBRTENW  1943    16.21
GBRTENW  1944    17.71
GBRTENW  1945    15.99
GBRTENW  1946    19.29
GBRTENW  1947    20.57
GBRTENW  1948    17.98
GBRTENW  1949    16.82
GBRTENW  1950    15.96
GBRTENW  1951    15.45
GBRTENW  1952    15.30
GBRTENW  1953    15.46
GBRTENW  1954    15.14
GBRTENW  1955    14.94
GBRTENW  1956    15.60
GBRTENW  1957    16.02
GBRTENW  1958    16.31
GBRTENW  1959    16.39
GBRTENW  1960    17.08
GBRTENW  1961    17.53
GBRTENW  1962    17.98
GBRTENW  1963    18.16
GBRTENW  1964    18.50
GBRTENW  1965    18.09
GBRTENW  1966    17.71
GBRTENW  1967    17.24
GBRTENW  1968    16.89
GBRTENW  1969    16.37
GBRTENW  1970    16.04
GBRTENW  1971    15.94
GBRTENW  1972    14.71
GBRTENW  1973    13.67
GBRTENW  1974    12.94
GBRTENW  1975    12.20
GBRTENW  1976    11.81
GBRTENW  1977    11.51
GBRTENW  1978    12.06
GBRTENW  1979    12.89
GBRTENW  1980    13.23
GBRTENW  1981    12.79
GBRTENW  1982    12.62
GBRTENW  1983    12.68
GBRTENW  1984    12.81
GBRTENW  1985    13.17
GBRTENW  1986    13.23
GBRTENW  1987    13.60
GBRTENW  1988    13.80
GBRTENW  1989    13.65
GBRTENW  1990    13.97
GBRTENW  1991    13.78
GBRTENW  1992    13.56
GBRTENW  1993    13.21
GBRTENW  1994    13.00
GBRTENW  1995    12.64
GBRTENW  1996    12.64
GBRTENW  1997    12.47
GBRTENW  1998    12.30
GBRTENW  1999    11.98
GBRTENW  2000    11.60
GBRTENW  2001    11.36
GBRTENW  2002    11.34
GBRTENW  2003    11.76
GBRTENW  2004    12.03
GBRTENW  2005    12.06
GBRTENW  2006    12.41
GBRTENW  2007    12.69
GBRTENW  2008    12.93
GBRTENW  2009    12.78
GBRTENW  2010    12.98
GBRTENW  2011    12.92
GBR_SCO  1945    18.40
GBR_SCO  1946    21.38
GBR_SCO  1947    22.48
GBR_SCO  1948    19.72
GBR_SCO  1949    18.76
GBR_SCO  1950    18.12
GBR_SCO  1951    17.75
GBR_SCO  1952    17.72
GBR_SCO  1953    17.82
GBR_SCO  1954    18.08
GBR_SCO  1955    18.10
GBR_SCO  1956    18.61
GBR_SCO  1957    19.10
GBR_SCO  1958    19.34
GBR_SCO  1959    19.22
GBR_SCO  1960    19.56
GBR_SCO  1961    19.50
GBR_SCO  1962    20.07
GBR_SCO  1963    19.72
GBR_SCO  1964    20.03
GBR_SCO  1965    19.32
GBR_SCO  1966    18.55
GBR_SCO  1967    18.48
GBR_SCO  1968    18.18
GBR_SCO  1969    17.32
GBR_SCO  1970    16.74
GBR_SCO  1971    16.59
GBR_SCO  1972    15.01
GBR_SCO  1973    14.21
GBR_SCO  1974    13.38
GBR_SCO  1975    12.98
GBR_SCO  1976    12.40
GBR_SCO  1977    11.93
GBR_SCO  1978    12.33
GBR_SCO  1979    13.14
GBR_SCO  1980    13.27
GBR_SCO  1981    13.33
GBR_SCO  1982    12.82
GBR_SCO  1983    12.64
GBR_SCO  1984    12.67
GBR_SCO  1985    13.01
GBR_SCO  1986    12.87
GBR_SCO  1987    13.00
GBR_SCO  1988    13.03
GBR_SCO  1989    12.50
GBR_SCO  1990    12.98
GBR_SCO  1991    13.18
GBR_SCO  1992    12.93
GBR_SCO  1993    12.44
GBR_SCO  1994    12.09
GBR_SCO  1995    11.77
GBR_SCO  1996    11.64
GBR_SCO  1997    11.69
GBR_SCO  1998    11.29
GBR_SCO  1999    10.87
GBR_SCO  2000    10.48
GBR_SCO  2001    10.38
GBR_SCO  2002    10.14
GBR_SCO  2003    10.36
GBR_SCO  2004    10.63
GBR_SCO  2005    10.67
GBR_SCO  2006    10.88
GBR_SCO  2007    11.23
GBR_SCO  2008    11.61
GBR_SCO  2009    11.37
GBR_SCO  2010    11.25
GBR_SCO  2011    11.18
GBR_NIR  1974    17.57
GBR_NIR  1975    16.91
GBR_NIR  1976    17.07
GBR_NIR  1977    16.49
GBR_NIR  1978    17.03
GBR_NIR  1979    18.28
GBR_NIR  1980    18.53
GBR_NIR  1981    17.62
GBR_NIR  1982    17.40
GBR_NIR  1983    17.44
GBR_NIR  1984    17.65
GBR_NIR  1985    17.53
GBR_NIR  1986    17.79
GBR_NIR  1987    17.51
GBR_NIR  1988    17.37
GBR_NIR  1989    16.26
GBR_NIR  1990    16.46
GBR_NIR  1991    16.21
GBR_NIR  1992    15.65
GBR_NIR  1993    15.15
GBR_NIR  1994    14.69
GBR_NIR  1995    14.37
GBR_NIR  1996    14.69
GBR_NIR  1997    14.43
GBR_NIR  1998    14.13
GBR_NIR  1999    13.67
GBR_NIR  2000    12.78
GBR_NIR  2001    13.00
GBR_NIR  2002    12.61
GBR_NIR  2003    12.72
GBR_NIR  2004    13.04
GBR_NIR  2005    12.95
GBR_NIR  2006    13.37
GBR_NIR  2007    13.91
GBR_NIR  2008    14.45
GBR_NIR  2009    13.93
GBR_NIR  2010    14.07
GBR_NIR  2011    13.97
USA  1933    16.57
USA  1934    17.15
USA  1935    16.93
USA  1936    16.75
USA  1937    17.09
USA  1938    17.61
USA  1939    17.30
USA  1940    17.88
USA  1941    18.89
USA  1942    20.99
USA  1943    21.92
USA  1944    20.99
USA  1945    20.33
USA  1946    23.67
USA  1947    25.82
USA  1948    24.20
USA  1949    23.94
USA  1950    23.52
USA  1951    24.45
USA  1952    24.70
USA  1953    24.65
USA  1954    24.92
USA  1955    24.64
USA  1956    24.88
USA  1957    24.97
USA  1958    24.25
USA  1959    23.96
USA  1960    23.65
USA  1961    23.33
USA  1962    22.43
USA  1963    21.74
USA  1964    21.07
USA  1965    19.43
USA  1966    18.44
USA  1967    17.83
USA  1968    17.56
USA  1969    17.86
USA  1970    18.29
USA  1971    17.20
USA  1972    15.58
USA  1973    14.85
USA  1974    14.82
USA  1975    14.60
USA  1976    14.57
USA  1977    15.14
USA  1978    15.01
USA  1979    15.57
USA  1980    15.91
USA  1981    15.82
USA  1982    15.89
USA  1983    15.57
USA  1984    15.56
USA  1985    15.81
USA  1986    15.65
USA  1987    15.73
USA  1988    15.99
USA  1989    16.37
USA  1990    16.66
USA  1991    16.26
USA  1992    15.85
USA  1993    15.40
USA  1994    15.03
USA  1995    14.66
USA  1996    14.46
USA  1997    14.25
USA  1998    14.30
USA  1999    14.21
USA  2000    14.41
USA  2001    14.15
USA  2002    14.00
USA  2003    14.11
USA  2004    14.06
USA  2005    14.01
USA  2006    14.30
USA  2007    14.33
USA  2008    13.97
USA  2009    13.47
USA  2010    12.94
UKR  1959    20.89
UKR  1960    20.55
UKR  1961    19.45
UKR  1962    18.74
UKR  1963    17.89
UKR  1964    16.50
UKR  1965    15.25
UKR  1966    15.57
UKR  1967    15.13
UKR  1968    14.86
UKR  1969    14.64
UKR  1970    15.21
UKR  1971    15.47
UKR  1972    15.54
UKR  1973    14.89
UKR  1974    15.15
UKR  1975    15.11
UKR  1976    15.20
UKR  1977    14.71
UKR  1978    14.78
UKR  1979    14.78
UKR  1980    14.86
UKR  1981    14.61
UKR  1982    14.80
UKR  1983    15.96
UKR  1984    15.60
UKR  1985    14.98
UKR  1986    15.51
UKR  1987    14.85
UKR  1988    14.48
UKR  1989    13.42
UKR  1990    12.74
UKR  1991    12.21
UKR  1992    11.52
UKR  1993    10.76
UKR  1994    10.13
UKR  1995     9.65
UKR  1996     9.23
UKR  1997     8.82
UKR  1998     8.43
UKR  1999     7.89
UKR  2000     7.88
UKR  2001     7.78
UKR  2002     8.14
UKR  2003     8.58
UKR  2004     9.04
UKR  2005     9.08
UKR  2006     9.88
UKR  2007    10.21
UKR  2008    11.09
UKR  2009    11.17
