Crude birth rate
Last modified: 25/09/2014
Code Year      CBR
CZE  1963    15.47
CZE  1964    15.97
CZE  1965    15.19
CZE  1966    14.50
CZE  1967    14.19
CZE  1968    14.06
CZE  1969    14.63
CZE  1970    15.09
CZE  1971    15.70
CZE  1972    16.61
CZE  1973    18.36
CZE  1974    19.49
CZE  1975    19.12
CZE  1976    18.57
CZE  1977    17.91
CZE  1978    17.54
CZE  1979    16.80
CZE  1980    14.97
CZE  1981    14.04
CZE  1982    13.77
CZE  1983    13.34
CZE  1984    13.29
CZE  1985    13.19
CZE  1986    12.94
CZE  1987    12.71
CZE  1988    12.87
CZE  1989    12.45
CZE  1990    12.67
CZE  1991    12.55
CZE  1992    11.80
CZE  1993    11.73
CZE  1994    10.32
CZE  1995     9.32
CZE  1996     8.78
CZE  1997     8.82
CZE  1998     8.82
CZE  1999     8.73
CZE  2000     8.88
CZE  2001     8.87
CZE  2002     9.06
CZE  2003     9.14
CZE  2004     9.52
CZE  2005     9.94
CZE  2006    10.27
CZE  2007    11.09
CZE  2008    11.52
CZE  2009    11.36
CZE  2010    11.20
CZE  2011    10.35
EST  1959    16.52
EST  1960    16.56
EST  1961    16.42
EST  1962    15.99
EST  1963    15.27
EST  1964    15.37
EST  1965    14.63
EST  1966    14.27
EST  1967    14.16
EST  1968    14.83
EST  1969    15.47
EST  1970    15.83
EST  1971    16.10
EST  1972    15.69
EST  1973    15.18
EST  1974    15.21
EST  1975    15.02
EST  1976    15.19
EST  1977    15.22
EST  1978    14.98
EST  1979    14.94
EST  1980    15.03
EST  1981    15.44
EST  1982    15.46
EST  1983    16.04
EST  1984    15.98
EST  1985    15.48
EST  1986    15.69
EST  1987    16.21
EST  1988    16.06
EST  1989    15.51
EST  1990    14.24
EST  1991    12.48
EST  1992    11.70
EST  1993    10.00
EST  1994     9.41
EST  1995     9.09
EST  1996     9.03
EST  1997     8.68
EST  1998     8.51
EST  1999     8.81
EST  2000     9.35
EST  2001     9.10
EST  2002     9.42
EST  2003     9.51
EST  2004    10.27
EST  2005    10.59
EST  2006    11.05
EST  2007    11.77
EST  2008    11.99
EST  2009    11.81
EST  2010    11.88
EST  2011    11.06
EST  2012    10.63
FIN  1939    21.22
FIN  1940    17.80
FIN  1941    24.21
FIN  1942    16.64
FIN  1943    20.47
FIN  1944    21.29
FIN  1945    25.55
FIN  1946    27.89
FIN  1947    28.04
FIN  1948    27.56
FIN  1949    26.13
FIN  1950    24.46
FIN  1951    22.99
FIN  1952    23.05
FIN  1953    21.95
FIN  1954    21.45
FIN  1955    21.19
FIN  1956    20.76
FIN  1957    20.11
FIN  1958    18.61
FIN  1959    18.94
FIN  1960    18.54
FIN  1961    18.38
FIN  1962    18.13
FIN  1963    18.18
FIN  1964    17.68
FIN  1965    17.06
FIN  1966    16.96
FIN  1967    16.77
FIN  1968    15.91
FIN  1969    14.58
FIN  1970    14.01
FIN  1971    13.24
FIN  1972    12.68
FIN  1973    12.17
FIN  1974    13.32
FIN  1975    13.95
FIN  1976    14.14
FIN  1977    13.85
FIN  1978    13.46
FIN  1979    13.31
FIN  1980    13.19
FIN  1981    13.23
FIN  1982    13.70
FIN  1983    13.77
FIN  1984    13.33
FIN  1985    12.82
FIN  1986    12.34
FIN  1987    12.13
FIN  1988    12.80
FIN  1989    12.76
FIN  1990    13.14
FIN  1991    13.04
FIN  1992    13.24
FIN  1993    12.80
FIN  1994    12.81
FIN  1995    12.35
FIN  1996    11.85
FIN  1997    11.54
FIN  1998    11.08
FIN  1999    11.15
FIN  2000    10.96
FIN  2001    10.83
FIN  2002    10.68
FIN  2003    10.86
FIN  2004    11.04
FIN  2005    11.01
FIN  2006    11.17
FIN  2007    11.10
FIN  2008    11.20
FIN  2009    11.32
FRATNP  1946    20.95
FRATNP  1947    21.39
FRATNP  1948    21.18
FRATNP  1949    21.03
FRATNP  1950    20.61
FRATNP  1951    19.61
FRATNP  1952    19.36
FRATNP  1953    18.82
FRATNP  1954    18.83
FRATNP  1955    18.55
FRATNP  1956    18.40
FRATNP  1957    18.42
FRATNP  1958    18.13
FRATNP  1959    18.33
FRATNP  1960    17.94
FRATNP  1961    18.16
FRATNP  1962    17.71
FRATNP  1963    18.17
FRATNP  1964    18.17
FRATNP  1965    17.76
FRATNP  1966    17.56
FRATNP  1967    16.97
