Period table mean ages at birth by birth order
Last modified: 25/09/2014
Code Year     TMAB    TMAB1    TMAB2    TMAB3    TMAB4   TMAB5p
AUT  1991    27.24    25.43    28.05    30.71    32.63    34.58
AUT  1992    27.30    25.52    28.08    30.66    32.61    34.47
AUT  1993    27.35    25.64    28.05    30.70    32.58    34.40
AUT  1994    27.56    25.94    28.29    30.87    32.61    34.34
AUT  1995    27.75    26.21    28.50    30.97    32.85    34.57
AUT  1996    27.91    26.40    28.63    31.07    32.92    34.42
AUT  1997    28.03    26.53    28.84    31.31    33.18    34.96
AUT  1998    28.13    26.73    28.92    31.19    32.85    34.67
AUT  1999    28.28    26.91    29.15    31.20    32.78    34.68
AUT  2000    28.33    26.96    29.12    31.25    32.79    34.50
AUT  2001    28.52    27.17    29.37    31.46    32.87    34.53
AUT  2002    28.68    27.31    29.47    31.38    32.76    34.38
AUT  2003    28.88    27.50    29.65    31.68    33.14    34.83
AUT  2004    28.94    27.55    29.69    31.49    32.95    34.87
AUT  2005    29.14    27.76    29.95    31.67    33.08    34.85
AUT  2006    29.34    27.96    30.16    31.82    33.21    35.22
AUT  2007    29.51    28.20    30.27    32.04    33.50    35.06
AUT  2008    29.60    28.24    30.38    32.14    33.47    35.28
AUT  2009    29.80    28.45    30.65    32.29    33.58    35.07
AUT  2010    29.95    28.62    30.73    32.39    33.70    35.00
BLR  1989    25.29    22.77    26.70    30.02    32.04    34.34
BLR  1990    25.09    22.62    26.81    29.75    31.63    33.84
BLR  1991    24.98    22.60    26.96    29.66    31.24    33.66
BLR  1992    24.90    22.59    26.93    29.42    30.88    33.51
BLR  1993    24.99    22.83    27.16    29.56    30.91    33.25
BLR  1994    25.03    22.92    27.47    29.58    30.89    33.35
BLR  1995    25.14    23.19    27.76    29.65    31.05    33.48
BLR  1996    25.24    23.43    27.95    29.61    30.48    32.86
BLR  1997    25.43    23.78    28.05    29.45    30.41    32.95
BLR  1998    25.61    23.93    28.08    29.48    30.53    32.94
BLR  1999    25.68    24.00    28.12    29.67    30.72    32.97
BLR  2000    25.90    24.23    28.28    29.98    31.11    33.34
BLR  2001    26.05    24.38    28.42    30.01    31.20    33.46
BLR  2002    26.22    24.62    28.63    30.41    31.49    33.62
BLR  2003    26.30    24.72    28.73    30.37    31.71    33.95
BLR  2004    26.46    24.86    28.87    30.64    32.16    34.25
BLR  2005    26.66    25.01    29.00    30.74    32.12    34.09
BLR  2006    26.74    24.93    28.95    30.90    32.44    34.36
BLR  2007    26.96    24.94    29.01    31.15    32.70    34.41
BLR  2008    27.07    24.94    29.06    31.34    33.01    34.88
BLR  2009    27.19    25.00    29.19    31.70    33.29    34.90
BLR  2010    27.42    25.27    29.34    31.75    33.53    35.25
BLR  2011    27.52    25.36    29.35    31.77    33.44    35.04
BLR  2012    27.55    25.27    29.26    31.79    33.39    34.95
BGR  1977    24.03    21.78    24.98    26.86    28.63    31.90
BGR  1978    23.95    21.78    25.00    26.76    28.44    31.62
BGR  1979    23.86    21.70    24.91    26.56    28.29    31.74
BGR  1980    23.83    21.72    25.02    26.68    28.16    31.58
BGR  1981    23.88    21.85    25.15    26.75    28.18    31.42
BGR  1982    23.80    21.77    25.03    26.63    27.96    31.45
BGR  1983    23.91    21.92    25.09    26.68    27.96    31.19
BGR  1984    23.94    21.96    25.10    26.75    28.02    31.11
BGR  1985    23.99    22.04    25.15    26.65    27.90    31.05
BGR  1986    23.97    22.04    25.09    26.81    28.16    31.14
BGR  1987    24.01    22.19    25.11    26.93    28.06    30.89
BGR  1988    23.99    22.21    25.06    26.73    27.86    30.84
BGR  1989    24.07    22.33    25.20    26.75    27.87    30.93
BGR  1990    24.15    22.46    25.43    26.79    27.75    30.70
BGR  1991    24.04    22.45    25.51    26.68    27.76    30.59
BGR  1992    24.17    22.64    25.80    26.78    27.57    30.88
BGR  1993    24.41    23.01    26.02    26.56    27.21    30.36
BGR  1994    24.71    23.45    26.32    26.35    26.99    30.38
