Cumulative cohort fertility rates (horizontal parallelograms
Last modified: 25/09/2014
Code Cohort  Age     CCFR
AUT  1936    12         .
AUT  1936    13         .
AUT  1936    14         .
AUT  1936    15     0.000
AUT  1936    16     0.002
AUT  1936    17     0.011
AUT  1936    18     0.037
AUT  1936    19     0.091
AUT  1936    20     0.184
AUT  1936    21     0.305
AUT  1936    22     0.458
AUT  1936    23     0.627
AUT  1936    24     0.807
AUT  1936    25     0.987
AUT  1936    26     1.173
AUT  1936    27     1.351
AUT  1936    28     1.516
AUT  1936    29     1.663
AUT  1936    30     1.793
AUT  1936    31     1.912
AUT  1936    32     2.016
AUT  1936    33     2.103
AUT  1936    34     2.175
AUT  1936    35     2.233
AUT  1936    36     2.282
AUT  1936    37     2.324
AUT  1936    38     2.357
AUT  1936    39     2.384
AUT  1936    40     2.402
AUT  1936    41     2.415
AUT  1936    42     2.423
AUT  1936    43     2.428
AUT  1936    44     2.432
AUT  1936    45     2.434
AUT  1936    46     2.435
AUT  1936    47     2.436
AUT  1936    48     2.436
AUT  1936    49     2.436
AUT  1936    50     2.436
AUT  1936    51     2.436
AUT  1936    52     2.436
AUT  1936    53     2.436
AUT  1936    54     2.436
AUT  1936    55     2.436
AUT  1937    12         .
AUT  1937    13         .
AUT  1937    14     0.000
AUT  1937    15     0.000
AUT  1937    16     0.002
AUT  1937    17     0.011
AUT  1937    18     0.039
AUT  1937    19     0.099
AUT  1937    20     0.192
AUT  1937    21     0.320
AUT  1937    22     0.471
AUT  1937    23     0.641
AUT  1937    24     0.822
AUT  1937    25     1.010
AUT  1937    26     1.196
AUT  1937    27     1.374
AUT  1937    28     1.535
AUT  1937    29     1.681
AUT  1937    30     1.810
AUT  1937    31     1.923
AUT  1937    32     2.021
AUT  1937    33     2.102
AUT  1937    34     2.171
AUT  1937    35     2.228
AUT  1937    36     2.275
AUT  1937    37     2.311
AUT  1937    38     2.342
AUT  1937    39     2.364
AUT  1937    40     2.379
AUT  1937    41     2.391
AUT  1937    42     2.399
AUT  1937    43     2.403
AUT  1937    44     2.406
AUT  1937    45     2.408
AUT  1937    46     2.409
AUT  1937    47     2.409
AUT  1937    48     2.410
AUT  1937    49     2.410
AUT  1937    50     2.410
AUT  1937    51     2.410
AUT  1937    52     2.410
AUT  1937    53     2.410
AUT  1937    54     2.410
AUT  1937    55     2.410
AUT  1938    12         .
AUT  1938    13     0.000
AUT  1938    14     0.000
AUT  1938    15     0.000
AUT  1938    16     0.003
AUT  1938    17     0.013
AUT  1938    18     0.041
AUT  1938    19     0.103
AUT  1938    20     0.204
AUT  1938    21     0.335
AUT  1938    22     0.489
AUT  1938    23     0.662
AUT  1938    24     0.848
AUT  1938    25     1.034
AUT  1938    26     1.214
AUT  1938    27     1.383
AUT  1938    28     1.533
AUT  1938    29     1.671
AUT  1938    30     1.794
AUT  1938    31     1.900
AUT  1938    32     1.989
AUT  1938    33     2.062
AUT  1938    34     2.125
AUT  1938    35     2.177
AUT  1938    36     2.218
AUT  1938    37     2.254
AUT  1938    38     2.279
AUT  1938    39     2.298
AUT  1938    40     2.313
AUT  1938    41     2.322
AUT  1938    42     2.329
AUT  1938    43     2.333
AUT  1938    44     2.336
AUT  1938    45     2.338
AUT  1938    46     2.338
AUT  1938    47     2.339
AUT  1938    48     2.339
AUT  1938    49     2.339
AUT  1938    50     2.339
AUT  1938    51     2.339
AUT  1938    52     2.339
AUT  1938    53     2.339
AUT  1938    54     2.339
AUT  1938    55     2.339
AUT  1939    12     0.000
AUT  1939    13     0.000
AUT  1939    14     0.000
AUT  1939    15     0.000
AUT  1939    16     0.002
AUT  1939    17     0.013
AUT  1939    18     0.044
AUT  1939    19     0.105
AUT  1939    20     0.205
AUT  1939    21     0.339
AUT  1939    22     0.492
AUT  1939    23     0.664
AUT  1939    24     0.842
AUT  1939    25     1.018
AUT  1939    26     1.190
AUT  1939    27     1.345
AUT  1939    28     1.486
AUT  1939    29     1.615
AUT  1939    30     1.730
AUT  1939    31     1.826
AUT  1939    32     1.904
AUT  1939    33     1.970
AUT  1939    34     2.023
AUT  1939    35     2.067
AUT  1939    36     2.103
