Completed cohort fertility and completed cohort fertility by age 40
Last modified: 25/09/2014
Code Cohort     CCF     CCF40
AUT  1936     2.436     2.402
AUT  1937     2.410     2.379
AUT  1938     2.339     2.313
AUT  1939     2.202     2.179
AUT  1940     2.132     2.111
AUT  1941     2.065     2.043
AUT  1942     2.037     2.014
AUT  1943     1.983     1.964
AUT  1944     1.953     1.935
AUT  1945     1.938     1.917
AUT  1946     1.986     1.967
AUT  1947     1.931     1.913
AUT  1948     1.916     1.898
AUT  1949     1.908     1.888
AUT  1950     1.863     1.843
AUT  1951     1.835     1.816
AUT  1952     1.812     1.791
AUT  1953     1.817     1.796
AUT  1954     1.784     1.763
AUT  1955     1.768     1.746
AUT  1956     1.746     1.724
AUT  1957     1.730     1.707
AUT  1958     1.713     1.688
AUT  1959     1.713     1.687
AUT  1960     1.698     1.670
AUT  1961         .     1.646
AUT  1962         .     1.644
AUT  1963         .     1.636
AUT  1964         .     1.619
AUT  1965         .     1.620
AUT  1966         .     1.602
AUT  1967         .     1.585
AUT  1968         .     1.567
AUT  1969         .     1.570
AUT  1970         .     1.577
BLR  1949     1.968     1.951
BLR  1950     1.938     1.923
BLR  1951     1.964     1.950
BLR  1952     1.928     1.915
BLR  1953     1.886     1.874
BLR  1954     1.915     1.903
BLR  1955     1.931     1.920
BLR  1956     1.926     1.915
BLR  1957     1.924     1.913
BLR  1958     1.921     1.911
BLR  1959     1.891     1.880
BLR  1960     1.873     1.862
BLR  1961     1.857     1.845
BLR  1962     1.815     1.803
BLR  1963         .     1.723
BLR  1964         .     1.671
BLR  1965         .     1.674
BLR  1966         .     1.684
BLR  1967         .     1.694
BLR  1968         .     1.689
BLR  1969         .     1.674
BLR  1970         .     1.643
BLR  1971         .     1.593
BLR  1972         .     1.559
BGR  1932     2.046     2.030
BGR  1933     2.049     2.034
BGR  1934     2.041     2.027
BGR  1935     2.032     2.019
BGR  1936     2.036     2.023
BGR  1937     2.038     2.027
BGR  1938     2.038     2.027
BGR  1939     2.052     2.041
BGR  1940     2.086     2.075
BGR  1941     2.094     2.084
BGR  1942     2.092     2.082
BGR  1943     2.075     2.066
BGR  1944     2.079     2.069
BGR  1945     2.070     2.060
BGR  1946     2.055     2.046
BGR  1947     2.051     2.041
BGR  1948     2.063     2.053
BGR  1949     2.079     2.070
BGR  1950     2.064     2.054
BGR  1951     2.048     2.039
BGR  1952     2.037     2.029
BGR  1953     2.036     2.028
BGR  1954     2.042     2.033
BGR  1955     2.026     2.017
BGR  1956     2.035     2.026
BGR  1957     2.043     2.035
BGR  1958     2.017     2.007
BGR  1959     1.989     1.979
BGR  1960         .     1.943
BGR  1961         .     1.904
BGR  1962         .     1.864
BGR  1963         .     1.850
BGR  1964         .     1.870
BGR  1965         .     1.802
BGR  1966         .     1.798
BGR  1967         .     1.770
BGR  1968         .     1.739
BGR  1969         .     1.673
CAN  1906     2.861     2.689
CAN  1907     2.834     2.665
CAN  1908     2.775     2.612
CAN  1909     2.741     2.582
CAN  1910     2.735     2.574
CAN  1911     2.717     2.553
CAN  1912     2.745     2.579
CAN  1913     2.808     2.643
CAN  1914     2.880     2.716
CAN  1915     2.892     2.732
CAN  1916     2.887     2.731
CAN  1917     2.918     2.765
CAN  1918     2.930     2.784
CAN  1919     3.032     2.888
CAN  1920     3.211     3.063
CAN  1921     3.271     3.133
CAN  1922     3.249     3.124
CAN  1923     3.259     3.145
CAN  1924     3.273     3.173
CAN  1925     3.260     3.173
CAN  1926     3.260     3.185
CAN  1927     3.296     3.230
CAN  1928     3.314     3.256
CAN  1929     3.344     3.294
CAN  1930     3.376     3.333
CAN  1931     3.356     3.320
CAN  1932     3.302     3.271
CAN  1933     3.227     3.201
CAN  1934     3.155     3.132
CAN  1935     3.077     3.056
CAN  1936     2.987     2.968
CAN  1937     2.908     2.891
CAN  1938     2.833     2.817
CAN  1939     2.760     2.745
CAN  1940     2.664     2.648
CAN  1941     2.546     2.531
CAN  1942     2.451     2.436
CAN  1943     2.343     2.328
CAN  1944     2.198     2.183
CAN  1945     2.114     2.098
CAN  1946     2.133     2.116
CAN  1947     2.107     2.089
CAN  1948     2.025     2.006
CAN  1949     1.968     1.948
CAN  1950     1.928     1.906
CAN  1951     1.897     1.874
CAN  1952     1.882     1.859
CAN  1953     1.873     1.848
CAN  1954     1.863     1.837
CAN  1955     1.852     1.826
CAN  1956     1.845     1.817
CAN  1957     1.846     1.818
CAN  1958     1.846     1.817
CAN  1959     1.846     1.815
CAN  1960         .     1.802
CAN  1961         .     1.778
CAN  1962         .     1.763
CAN  1963         .     1.753
CAN  1964         .     1.739
CAN  1965         .     1.723
CAN  1966         .     1.723
CAN  1967         .     1.729
CAN  1968         .     1.730
CAN  1969         .     1.729
CZE  1935     2.113     2.100
CZE  1936     2.092     2.079
CZE  1937     2.105     2.093
CZE  1938     2.091     2.080
