Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 25/09/2014
Code Year    adjTFR
BGR  1969     2.304
BGR  1970     2.099
BGR  1971     2.047
BGR  1972     1.976
BGR  1973     2.104
BGR  1974     2.267
BGR  1975     2.103
BGR  1976     2.062
BGR  1977     2.058
BGR  1978     2.022
BGR  1979     2.029
BGR  1980     2.062
BGR  1981     1.967
BGR  1982     1.943
BGR  1983     2.043
BGR  1984     2.011
BGR  1985     2.040
BGR  1986     2.100
BGR  1987     1.959
BGR  1988     1.988
BGR  1989     1.948
BGR  1990     1.724
BGR  1991     1.616
BGR  1992     1.651
BGR  1993     1.634
BGR  1994     1.643
BGR  1995     1.521
BGR  1996     1.602
BGR  1997     1.417
BGR  1998     1.271
BGR  1999     1.626
BGR  2000     1.812
BGR  2001     1.452
BGR  2002     1.543
BGR  2003     1.577
BGR  2004     1.729
BGR  2005     1.785
BGR  2006     1.696
BGR  2007     1.727
BGR  2008     1.638
CAN  1945     2.874
CAN  1946     3.076
CAN  1947     3.123
CAN  1948     2.981
CAN  1949     3.117
CAN  1950     3.167
CAN  1951     3.214
CAN  1952     3.347
CAN  1953     3.442
CAN  1954     3.546
CAN  1955     3.490
CAN  1956     3.488
CAN  1957     3.599
CAN  1958     3.540
CAN  1959     3.610
CAN  1960     3.607
CAN  1961     3.588
CAN  1962     3.647
CAN  1963     3.986
CAN  1964     4.103
CAN  1965     3.652
CAN  1966     3.115
CAN  1967     2.782
CAN  1968     2.652
CAN  1969     2.554
CAN  1970     2.436
CAN  1971     2.362
CAN  1972     2.211
CAN  1973     2.099
CAN  1974     1.935
CAN  1975     1.903
CAN  1976     2.021
CAN  1977     1.999
CAN  1978     1.901
CAN  1979     1.878
CAN  1980     1.873
CAN  1981     1.799
CAN  1982     1.800
CAN  1983     1.863
CAN  1984     1.819
CAN  1985     1.776
CAN  1986     1.765
CAN  1987     1.759
CAN  1988     1.716
CAN  1989     1.749
CAN  1990     1.793
CAN  1991     1.813
CAN  1992     1.893
CAN  1993     1.829
CAN  1994     1.838
CAN  1995     1.930
CAN  1996     1.937
CAN  1997     1.744
CAN  1998     1.743
CAN  1999     1.821
CAN  2000     1.818
CAN  2001     1.858
CAN  2002     1.820
CAN  2003     1.859
CAN  2004     1.763
CAN  2005     1.708
CAN  2006     1.728
CAN  2007     1.747
CAN  2008     1.799
CHL  1993     2.319
CHL  1994     2.244
CHL  1995     2.436
CHL  1996     2.396
CHL  1997     2.282
CHL  1998     2.350
CHL  1999     2.363
CHL  2000     2.307
CHL  2001     2.285
CHL  2002     2.318
CHL  2003     2.336
CHL  2004     2.067
CZE  1951     2.484
CZE  1952     2.555
CZE  1953     2.438
CZE  1954     2.403
CZE  1955     2.352
CZE  1956     2.274
CZE  1957     2.239
CZE  1958     2.097
CZE  1959     1.994
CZE  1960     2.118
CZE  1961     2.078
CZE  1962     2.100
CZE  1963     2.462
