Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 25/09/2014
Code Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
JPN  2000     1.400     0.674     0.510     0.176     0.032     0.008
JPN  2001     1.398     0.695     0.498     0.167     0.030     0.009
JPN  2002     1.457     0.778     0.492     0.152     0.027     0.008
JPN  2003     1.451     0.779     0.498     0.142     0.025     0.008
JPN  2004     1.420     0.738     0.514     0.136     0.024     0.007
JPN  2005     1.369     0.692     0.511     0.136     0.023     0.007
JPN  2006     1.476     0.736     0.555     0.153     0.024     0.007
JPN  2007     1.474     0.741     0.541     0.159     0.025     0.007
JPN  2008     1.512     0.767     0.543     0.167     0.028     0.008
LTU  1971     2.253     1.003     0.770     0.267     0.108     0.105
LTU  1972     2.234     1.013     0.741     0.271     0.107     0.103
LTU  1973     2.058     0.936     0.707     0.232     0.095     0.089
LTU  1974     2.019     0.899     0.726     0.224     0.086     0.083
LTU  1975     2.048     0.900     0.713     0.245     0.101     0.089
LTU  1976     1.981     0.870     0.705     0.232     0.086     0.087
LTU  1977     1.989     0.872     0.721     0.245     0.071     0.080
LTU  1978     1.977     0.917     0.680     0.218     0.082     0.081
LTU  1979     1.825     0.873     0.625     0.189     0.065     0.073
LTU  1980     2.294     1.151     0.766     0.236     0.071     0.070
LTU  1981     2.405     1.188     0.800     0.245     0.097     0.075
LTU  1982     1.920     0.882     0.713     0.188     0.066     0.071
LTU  1983     2.076     0.917     0.802     0.229     0.064     0.064
LTU  1984     1.902     0.869     0.679     0.221     0.072     0.060
LTU  1985     2.031     0.939     0.733     0.217     0.072     0.069
LTU  1986     2.177     0.967     0.791     0.267     0.078     0.076
LTU  1987     1.630     0.781     0.584     0.160     0.062     0.043
LTU  1988     1.451     0.719     0.516     0.134     0.044     0.038
LTU  1989     1.742     0.848     0.622     0.176     0.048     0.048
LTU  1990     1.851     0.887     0.684     0.186     0.056     0.038
LTU  1991     1.811     0.915     0.623     0.184     0.054     0.034
LTU  1992     1.977     0.989     0.668     0.229     0.052     0.038
LTU  1993     1.680     0.863     0.583     0.159     0.042     0.034
LTU  1994     1.561     0.815     0.534     0.133     0.049     0.030
LTU  1995     1.768     0.866     0.609     0.197     0.059     0.038
LTU  1996     1.740     0.847     0.638     0.175     0.043     0.037
LTU  1997     1.795     0.909     0.637     0.161     0.047     0.041
LTU  1998     1.748     0.870     0.601     0.158     0.071     0.049
LTU  1999     1.693     0.815     0.604     0.176     0.060     0.038
LTU  2000     1.682     0.817     0.575     0.193     0.053     0.044
LTU  2001     1.534     0.749     0.536     0.157     0.040     0.052
LTU  2002     1.456     0.683     0.536     0.145     0.052     0.040
LTU  2003     1.707     0.817     0.598     0.195     0.058     0.039
LTU  2004     1.692     0.798     0.620     0.190     0.036     0.048
LTU  2005     1.630     0.741     0.621     0.171     0.060     0.037
LTU  2006     1.805     0.876     0.628     0.175     0.087     0.039
LTU  2007     1.836     0.957     0.599     0.184     0.057     0.039
LTU  2008     2.056     1.123     0.670     0.185     0.038     0.039
LTU  2009     2.185     1.286     0.659     0.152     0.043     0.045
LTU  2010     1.773     0.947     0.587     0.161     0.039     0.039
NLD  1951     2.885     0.734     0.670     0.505     0.322     0.654
NLD  1952     3.017     0.827     0.697     0.515     0.353     0.625
NLD  1953     2.929     0.814     0.679     0.490     0.348     0.599
NLD  1954     2.907     0.829     0.692     0.464     0.319     0.603
NLD  1955     2.889     0.834     0.702     0.482     0.309     0.562
NLD  1956     2.872     0.832     0.717     0.466     0.306     0.551
NLD  1957     2.896     0.865     0.724     0.467     0.306     0.534
NLD  1958     2.943     0.895     0.743     0.490     0.297     0.518
NLD  1959     2.953     0.894     0.769     0.492     0.298     0.500
NLD  1960     2.852     0.841     0.776     0.475     0.287     0.472
NLD  1961     2.924     0.871     0.783     0.509     0.299     0.461
NLD  1962     2.881     0.881     0.767     0.514     0.288     0.430
NLD  1963     2.982     0.909     0.818     0.523     0.306     0.426
NLD  1964     3.065     0.936     0.833     0.544     0.326     0.426
NLD  1965     2.994     0.935     0.825     0.533     0.315     0.386
NLD  1966     2.836     0.935     0.800     0.508     0.275     0.318
NLD  1967     2.666     0.944     0.790     0.441     0.235     0.257
NLD  1968     2.492     0.897     0.791     0.402     0.193     0.210
NLD  1969     2.605     0.879     0.869     0.454     0.198     0.206
NLD  1970     2.503     0.865     0.842     0.424     0.189     0.183
NLD  1971     2.293     0.889     0.749     0.362     0.150     0.143
NLD  1972     2.184     0.920     0.719     0.307     0.130     0.107
NLD  1973     1.960     0.845     0.683     0.247     0.097     0.089
NLD  1974     1.866     0.846     0.695     0.203     0.061     0.060
NLD  1975     1.772     0.842     0.669     0.168     0.049     0.043
NLD  1976     1.740     0.788     0.682     0.173     0.052     0.045
NLD  1977     1.713     0.753     0.688     0.181     0.050     0.041
NLD  1978     1.724     0.765     0.684     0.196     0.043     0.035
NLD  1979     1.701     0.745     0.659     0.210     0.049     0.038
NLD  1980     1.735     0.745     0.654     0.229     0.063     0.043
NLD  1981     1.742     0.758     0.639     0.239     0.063     0.043
NLD  1982     1.731     0.762     0.626     0.242     0.062     0.038
NLD  1983     1.726     0.779     0.614     0.232     0.061     0.041
NLD  1984     1.818     0.841     0.628     0.240     0.066     0.042
NLD  1985     1.911     0.892     0.666     0.240     0.069     0.044
NLD  1986     1.973     0.907     0.705     0.246     0.067     0.049
NLD  1987     1.937     0.854     0.716     0.252     0.068     0.047
NLD  1988     1.867     0.789     0.700     0.256     0.073     0.049
NLD  1989     1.884     0.793     0.694     0.273     0.072     0.051
NLD  1990     1.965     0.857     0.703     0.285     0.073     0.047
NLD  1991     1.962     0.888     0.682     0.273     0.077     0.042
NLD  1992     1.943     0.882     0.677     0.266     0.077     0.042
NLD  1993     1.825     0.804     0.683     0.232     0.067     0.038
NLD  1994     1.799     0.812     0.652     0.230     0.065     0.041
NLD  1995     1.820     0.842     0.641     0.235     0.067     0.034
NLD  1996     1.715     0.774     0.615     0.232     0.063     0.032
NLD  1997     1.709     0.792     0.615     0.214     0.055     0.034
NLD  1998     1.750     0.810     0.630     0.214     0.061     0.035
NLD  1999     1.706     0.759     0.626     0.214     0.079     0.029
NLD  2000     1.775     0.807     0.655     0.226     0.063     0.023
NLD  2001     1.767     0.839     0.637     0.210     0.052     0.029
NLD  2002     1.817     0.882     0.637     0.212     0.057     0.029
NLD  2003     1.882     0.922     0.656     0.223     0.053     0.027
NLD  2004     1.830     0.899     0.646     0.204     0.053     0.028
NLD  2005     1.771     0.861     0.634     0.198     0.052     0.026
NLD  2006     1.786     0.828     0.663     0.216     0.055     0.025
NLD  2007     1.807     0.835     0.668     0.221     0.055     0.027
NLD  2008     1.883     0.876     0.679     0.242     0.060     0.026
NOR  1968     2.575     0.887     0.724     0.526     0.262     0.176
NOR  1969     2.493     0.826     0.731     0.509     0.240     0.188
NOR  1970     2.403     0.827     0.750     0.454     0.224     0.148
NOR  1971     2.440     0.887     0.756     0.449     0.213     0.135
NOR  1972     2.414     0.917     0.783     0.423     0.182     0.110
NOR  1973     2.339     0.929     0.764     0.374     0.162     0.110
NOR  1974     2.200     0.905     0.754     0.329     0.124     0.089
NOR  1975     2.204     0.902     0.801     0.320     0.121     0.060
NOR  1976     2.163     0.881     0.783     0.335     0.101     0.062
NOR  1977     2.065     0.888     0.738     0.308     0.079     0.052
NOR  1978     1.943     0.846     0.693     0.277     0.085     0.043
NOR  1979     1.901     0.789     0.710     0.286     0.081     0.035
NOR  1980     1.929     0.822     0.711     0.293     0.070     0.033
NOR  1981     1.872     0.808     0.679     0.275     0.077     0.033
NOR  1982     2.009     0.871     0.745     0.281     0.085     0.028
NOR  1983     1.948     0.859     0.695     0.295     0.074     0.026
NOR  1984     1.901     0.819     0.687     0.289     0.076     0.030
NOR  1985     1.934     0.851     0.698     0.285     0.070     0.031
NOR  1986     1.988     0.876     0.720     0.301     0.064     0.028
NOR  1987     2.017     0.856     0.756     0.313     0.071     0.022
NOR  1988     2.090     0.901     0.769     0.332     0.065     0.024
NOR  1989     2.126     0.911     0.739     0.364     0.084     0.028
NOR  1990     2.241     0.968     0.760     0.385     0.100     0.028
NOR  1991     2.192     0.954     0.768     0.353     0.085     0.032
NOR  1992     2.137     0.886     0.763     0.361     0.094     0.033
NOR  1993     2.159     0.914     0.738     0.375     0.101     0.031
NOR  1994     2.137     0.897     0.755     0.353     0.100     0.032
NOR  1995     2.111     0.825     0.810     0.355     0.088     0.033
NOR  1996     2.116     0.868     0.765     0.353     0.093     0.037
NOR  1997     2.115     0.896     0.751     0.341     0.098     0.030
NOR  1998     2.046     0.867     0.739     0.326     0.081     0.034
NOR  1999     2.010     0.842     0.713     0.331     0.082     0.042
NOR  2000     2.061     0.863     0.744     0.336     0.085     0.033
NOR  2001     2.063     0.884     0.739     0.323     0.087     0.030
NOR  2002     2.066     0.935     0.730     0.290     0.076     0.034
NOR  2003     2.084     0.967     0.710     0.306     0.067     0.035
NOR  2004     1.991     0.906     0.690     0.289     0.075     0.031
NOR  2005     1.971     0.842     0.726     0.295     0.081     0.027
NOR  2006     2.041     0.861     0.754     0.319     0.079     0.028
NOR  2007     1.998     0.865     0.719     0.307     0.074     0.033
NOR  2008     2.085     0.936     0.731     0.312     0.070     0.036
PRT  1960     3.037     1.005     0.634     0.427     0.289     0.682
PRT  1961     3.072     0.964     0.644     0.447     0.302     0.715
PRT  1962     3.251     1.039     0.701     0.448     0.293     0.769
PRT  1963     3.168     0.961     0.730     0.449     0.307     0.722
PRT  1964     3.246     0.945     0.765     0.459     0.321     0.756
PRT  1965     3.139     0.932     0.724     0.453     0.306     0.725
PRT  1966     3.131     0.914     0.712     0.470     0.312     0.723
PRT  1967     3.249     0.977     0.744     0.476     0.311     0.741
PRT  1968     3.149     0.980     0.725     0.426     0.309     0.708
PRT  1969     3.136     0.983     0.729     0.427     0.289     0.708
PRT  1970     3.169     0.994     0.770     0.421     0.279     0.706
PRT  1971     3.115     0.990     0.798     0.408     0.256     0.664
PRT  1972     2.872     0.914     0.740     0.392     0.244     0.583
PRT  1973     2.757     0.881     0.697     0.398     0.226     0.555
PRT  1974     2.513     0.847     0.642     0.348     0.191     0.485
PRT  1975     2.395     0.842     0.607     0.321     0.184     0.442
PRT  1976     2.531     1.060     0.631     0.283     0.164     0.394
PRT  1977     2.637     1.205     0.720     0.252     0.140     0.320
PRT  1978     2.408     1.108     0.686     0.247     0.121     0.246
PRT  1979     2.300     0.999     0.758     0.245     0.111     0.187
PRT  1980     2.299     0.955     0.808     0.259     0.113     0.164
PRT  1981     2.177     0.848     0.783     0.279     0.109     0.158
PRT  1982     2.080     0.836     0.722     0.276     0.106     0.139
PRT  1983     1.983     0.862     0.656     0.250     0.102     0.113
PRT  1984     2.080     0.978     0.643     0.248     0.105     0.106
PRT  1985     1.922     0.891     0.610     0.222     0.097     0.101
PRT  1986     1.923     0.878     0.633     0.226     0.094     0.091
PRT  1987     1.996     0.936     0.665     0.230     0.083     0.082
PRT  1988     1.940     0.958     0.632     0.199     0.078     0.073
PRT  1989     1.892     0.975     0.585     0.197     0.070     0.065
PRT  1990     1.920     0.993     0.605     0.200     0.067     0.055
PRT  1991     1.898     0.963     0.623     0.199     0.058     0.056
PRT  1992     1.824     0.931     0.601     0.174     0.065     0.054
PRT  1993     1.800     0.935     0.590     0.156     0.073     0.046
PRT  1994     1.771     0.919     0.592     0.163     0.054     0.043
PRT  1995     1.713     0.876     0.587     0.162     0.047     0.041
PRT  1996     1.664     0.853     0.575     0.153     0.048     0.036
PRT  1997     1.730     0.880     0.608     0.158     0.045     0.039
PRT  1998     1.853     0.964     0.634     0.170     0.052     0.033
PRT  1999     1.820     0.979     0.602     0.162     0.053     0.024
PRT  2000     1.730     0.962     0.568     0.138     0.036     0.026
PRT  2001     1.667     0.915     0.560     0.136     0.034     0.022
PRT  2002     1.780     1.009     0.570     0.145     0.034     0.021
PRT  2003     1.685     0.954     0.539     0.140     0.033     0.019
PRT  2004     1.587     0.865     0.526     0.137     0.041     0.019
PRT  2005     1.661     0.935     0.542     0.124     0.038     0.022
PRT  2006     1.552     0.866     0.524     0.116     0.030     0.016
PRT  2007     1.475     0.828     0.494     0.115     0.029     0.008
PRT  2008     1.594     0.914     0.526     0.117     0.025     0.012
PRT  2009     1.572     0.955     0.476     0.107     0.023     0.011
PRT  2010     1.764     1.046     0.558     0.118     0.031     0.011
PRT  2011     1.706     0.984     0.576     0.111     0.027     0.009
RUS  1960     2.290     0.879     0.706     0.321     0.160     0.224
RUS  1961     2.290     0.925     0.683     0.319     0.153     0.210
RUS  1962     2.320     0.956     0.678     0.320     0.155     0.210
RUS  1963     2.244     0.959     0.658     0.293     0.144     0.190
RUS  1964     2.244     0.996     0.669     0.267     0.136     0.176
RUS  1965     2.100     0.911     0.642     0.257     0.124     0.166
RUS  1966     2.056     0.930     0.607     0.250     0.109     0.160
RUS  1967     1.964     0.916     0.574     0.219     0.106     0.150
RUS  1968     1.934     0.848     0.617     0.213     0.106     0.150
RUS  1969     1.922     0.833     0.668     0.198     0.092     0.131
RUS  1970     1.909     0.882     0.629     0.195     0.082     0.121
RUS  1971     1.948     0.909     0.620     0.209     0.088     0.122
RUS  1972     1.937     0.935     0.611     0.191     0.085     0.115
RUS  1973     1.827     0.916     0.565     0.173     0.067     0.106
RUS  1974     1.839     0.936     0.574     0.164     0.066     0.100
RUS  1975     1.794     0.918     0.580     0.148     0.061     0.088
RUS  1976     1.789     0.923     0.592     0.140     0.053     0.081
RUS  1977     1.798     0.908     0.622     0.143     0.051     0.075
RUS  1978     1.761     0.897     0.612     0.139     0.046     0.067
RUS  1979     1.731     0.911     0.584     0.133     0.043     0.060
RUS  1980     1.797     0.956     0.609     0.137     0.042     0.053
RUS  1981     1.854     0.950     0.653     0.155     0.047     0.050
RUS  1982     1.923     0.921     0.717     0.186     0.051     0.049
RUS  1983     2.014     0.920     0.786     0.207     0.053     0.048
RUS  1984     1.953     0.945     0.710     0.197     0.054     0.047
RUS  1985     2.088     0.982     0.761     0.229     0.064     0.051
RUS  1986     2.271     0.983     0.864     0.287     0.079     0.059
RUS  1987     2.173     0.979     0.809     0.260     0.071     0.055
RUS  1988     1.959     0.946     0.694     0.209     0.058     0.052
RUS  1989     1.787     0.893     0.619     0.175     0.053     0.048
RUS  1990     1.714     0.913     0.555     0.156     0.049     0.042
RUS  1991     1.645     0.932     0.487     0.140     0.043     0.042
RUS  1992     1.499     0.873     0.436     0.118     0.039     0.033
RUS  1993     1.358     0.790     0.417     0.099     0.030     0.021
RUS  1994     1.522     0.891     0.469     0.110     0.031     0.022
RUS  1995     1.627     0.974     0.475     0.123     0.033     0.023
RUS  1996     1.525     0.888     0.462     0.120     0.035     0.021
RUS  1997     1.445     0.808     0.467     0.115     0.034     0.021
RUS  1998     1.500     0.855     0.466     0.120     0.035     0.023
RUS  1999     1.439     0.857     0.417     0.113     0.032     0.021
RUS  2000     1.509     0.863     0.480     0.119     0.030     0.018
RUS  2001     1.472     0.808     0.503     0.111     0.031     0.019
RUS  2002     1.487     0.825     0.495     0.115     0.030     0.021
RUS  2003     1.544     0.861     0.510     0.120     0.032     0.020
RUS  2004     1.563     0.887     0.505     0.118     0.033     0.020
RUS  2005     1.472     0.839     0.474     0.111     0.030     0.018
RUS  2006     1.450     0.831     0.463     0.110     0.029     0.016
RUS  2007     1.579     0.831     0.543     0.145     0.038     0.022
RUS  2008     1.731     0.906     0.598     0.165     0.041     0.021
RUS  2009     1.822     1.000     0.596     0.166     0.040     0.021
SVK  1951     3.255     1.004     0.864     0.531     0.322     0.535
SVK  1952     3.383     1.000     0.918     0.580     0.350     0.534
SVK  1953     3.235     0.944     0.823     0.584     0.342     0.542
SVK  1954     3.188     0.863     0.830     0.604     0.347     0.544
SVK  1955     3.071     0.843     0.806     0.573     0.328     0.521
SVK  1956     3.020     0.909     0.755     0.531     0.328     0.497
SVK  1957     3.065     0.916     0.788     0.518     0.338     0.506
SVK  1958     2.853     0.854     0.780     0.481     0.283     0.456
SVK  1959     2.769     0.882     0.758     0.451     0.283     0.394
SVK  1960     2.904     0.882     0.847     0.515     0.264     0.396
SVK  1961     2.866     0.935     0.808     0.529     0.232     0.363
SVK  1962     2.803     0.922     0.783     0.477     0.281     0.340
SVK  1963     3.021     0.897     0.890     0.563     0.302     0.369
SVK  1964     2.901     0.909     0.842     0.520     0.259     0.370
SVK  1965     2.721     0.886     0.803     0.453     0.243     0.335
SVK  1966     2.651     0.844     0.795     0.454     0.232     0.327
SVK  1967     2.486     0.806     0.740     0.421     0.214     0.306
SVK  1968     2.390     0.812     0.706     0.388     0.196     0.287
SVK  1969     2.560     0.907     0.761     0.409     0.206     0.277
SVK  1970     2.628     0.946     0.820     0.422     0.193     0.248
SVK  1971     2.513     0.891     0.805     0.413     0.166     0.237
SVK  1972     2.435     0.867     0.769     0.409     0.183     0.206
SVK  1973     2.498     0.846     0.853     0.411     0.191     0.197
SVK  1974     2.512     0.907     0.841     0.426     0.164     0.173
SVK  1975     2.467     0.936     0.792     0.421     0.151     0.167
SVK  1976     2.478     0.920     0.816     0.414     0.160     0.167
SVK  1977     2.382     0.910     0.794     0.400     0.151     0.127
SVK  1978     2.336     0.927     0.788     0.386     0.132     0.104
SVK  1979     2.299     0.944     0.792     0.352     0.118     0.094
SVK  1980     2.265     0.933     0.765     0.340     0.125     0.101
SVK  1981     2.250     0.872     0.781     0.375     0.122     0.100
SVK  1982     2.208     0.875     0.785     0.360     0.109     0.079
SVK  1983     2.221     0.902     0.780     0.337     0.118     0.085
SVK  1984     2.196     0.902     0.755     0.338     0.124     0.077
SVK  1985     2.258     0.916     0.802     0.341     0.126     0.074
SVK  1986     2.239     0.908     0.813     0.340     0.104     0.074
SVK  1987     2.207     0.929     0.780     0.334     0.096     0.068
SVK  1988     2.189     0.920     0.779     0.307     0.107     0.077
SVK  1989     2.094     0.884     0.738     0.303     0.106     0.064
SVK  1990     2.058     0.832     0.717     0.330     0.118     0.062
SVK  1991     2.050     0.865     0.691     0.307     0.110     0.078
SVK  1992     2.104     0.894     0.731     0.312     0.096     0.070
SVK  1993     2.139     0.905     0.758     0.309     0.102     0.064
SVK  1994     1.965     0.838     0.700     0.265     0.091     0.072
SVK  1995     1.777     0.770     0.641     0.217     0.088     0.061
SVK  1996     1.775     0.748     0.627     0.238     0.089     0.072
SVK  1997     1.842     0.752     0.639     0.272     0.093     0.086
SVK  1998     1.771     0.748     0.610     0.243     0.091     0.078
SVK  1999     1.767     0.803     0.575     0.223     0.087     0.080
SVK  2000     1.659     0.761     0.539     0.192     0.076     0.091
SVK  2001     1.520     0.699     0.504     0.165     0.070     0.082
SVK  2002     1.613     0.787     0.516     0.167     0.064     0.078
SVK  2003     1.616     0.783     0.523     0.176     0.054     0.080
SVK  2004     1.683     0.864     0.510     0.176     0.057     0.076
SVK  2005     1.695     0.820     0.559     0.169     0.069     0.077
SVK  2006     1.655     0.777     0.569     0.173     0.057     0.079
SVK  2007     1.658     0.783     0.561     0.190     0.052     0.071
SVK  2008     1.706     0.871     0.534     0.181     0.056     0.064
SVN  1984     1.837     0.928     0.685     0.172     0.033     0.019
SVN  1985     1.814     0.909     0.698     0.159     0.034     0.013
SVN  1986     1.718     0.838     0.688     0.145     0.032     0.015
SVN  1987     1.788     0.867     0.710     0.159     0.034     0.018
SVN  1988     1.856     0.940     0.697     0.163     0.043     0.012
SVN  1989     1.769     0.908     0.642     0.161     0.049     0.010
SVN  1990     1.789     0.902     0.682     0.154     0.027     0.024
SVN  1991     1.725     0.845     0.660     0.174     0.025     0.021
SVN  1992     1.725     0.924     0.577     0.169     0.044     0.010
SVN  1993     1.775     0.876     0.694     0.157     0.034     0.013
SVN  1994     1.678     0.795     0.693     0.149     0.028     0.014
SVN  1995     1.706     0.842     0.658     0.160     0.036     0.010
SVN  1996     1.724     0.864     0.647     0.167     0.030     0.015
SVN  1997     1.753     0.880     0.634     0.188     0.032     0.019
SVN  1998     1.662     0.864     0.594     0.166     0.026     0.012
SVN  1999     1.575     0.883     0.528     0.126     0.025     0.014
SVN  2000     1.653     0.877     0.605     0.130     0.031     0.010
SVN  2001     1.745     0.927     0.585     0.178     0.041     0.015
SVN  2002     1.644     0.873     0.554     0.158     0.044     0.015
SVN  2003     1.477     0.709     0.585     0.140     0.023     0.020
SVN  2004     1.604     0.780     0.596     0.164     0.023     0.042
SVN  2005     1.604     0.823     0.563     0.160     0.049     0.009
SVN  2006     1.592     0.819     0.561     0.153     0.047     0.011
SVN  2007     1.634     0.790     0.628     0.170     0.027     0.019
SVN  2008     1.710     0.826     0.641     0.190     0.038     0.015
SWE  1971     1.920     0.821     0.687     0.266     0.092     0.054
SWE  1972     1.918     0.836     0.693     0.255     0.087     0.048
SWE  1973     1.893     0.846     0.676     0.250     0.084     0.037
SWE  1974     1.960     0.917     0.675     0.264     0.067     0.036
SWE  1975     2.025     0.975     0.683     0.268     0.062     0.037
SWE  1976     1.948     0.916     0.692     0.247     0.064     0.029
SWE  1977     1.872     0.868     0.705     0.222     0.056     0.022
SWE  1978     1.931     0.844     0.772     0.235     0.056     0.024
SWE  1979     1.973     0.840     0.761     0.278     0.067     0.028
SWE  1980     1.917     0.822     0.725     0.274     0.070     0.026
SWE  1981     1.883     0.801     0.711     0.276     0.070     0.025
SWE  1982     1.880     0.836     0.674     0.283     0.062     0.025
SWE  1983     1.894     0.848     0.666     0.288     0.066     0.026
SWE  1984     1.878     0.792     0.700     0.288     0.071     0.027
SWE  1985     1.889     0.771     0.708     0.307     0.078     0.025
SWE  1986     1.997     0.819     0.721     0.342     0.087     0.028
SWE  1987     1.964     0.811     0.706     0.329     0.084     0.033
SWE  1988     2.021     0.848     0.705     0.334     0.100     0.035
SWE  1989     2.060     0.883     0.700     0.340     0.102     0.035
SWE  1990     2.251     0.996     0.751     0.357     0.105     0.041
SWE  1991     2.395     1.111     0.778     0.349     0.104     0.052
SWE  1992     2.358     1.068     0.804     0.330     0.108     0.048
SWE  1993     2.304     0.966     0.830     0.340     0.114     0.053
SWE  1994     2.221     0.866     0.868     0.332     0.103     0.052
SWE  1995     2.089     0.813     0.822     0.321     0.091     0.042
SWE  1996     1.929     0.784     0.744     0.279     0.079     0.043
SWE  1997     1.869     0.788     0.701     0.261     0.076     0.043
SWE  1998     1.828     0.779     0.673     0.260     0.074     0.042
SWE  1999     1.701     0.695     0.648     0.253     0.069     0.037
SWE  2000     1.839     0.804     0.640     0.272     0.079     0.043
SWE  2001     1.875     0.868     0.644     0.254     0.074     0.036
SWE  2002     1.943     0.914     0.680     0.245     0.067     0.036
SWE  2003     2.041     0.982     0.699     0.251     0.070     0.039
SWE  2004     1.978     0.901     0.720     0.249     0.070     0.038
SWE  2005     1.955     0.868     0.730     0.253     0.075     0.031
SWE  2006     2.023     0.892     0.757     0.265     0.071     0.038
SWE  2007     1.940     0.862     0.725     0.247     0.067     0.038
SWE  2008     2.016     0.931     0.725     0.258     0.069     0.032
SWE  2009     2.078     0.962     0.758     0.260     0.063     0.037
SWE  2010     2.074     0.953     0.754     0.267     0.062     0.039
CHE  1999     1.641     0.793     0.582     0.194     0.049     0.022
CHE  2000     1.832     0.888     0.642     0.224     0.057     0.022
CHE  2001     1.645     0.809     0.575     0.200     0.047     0.014
CHE  2002     1.585     0.781     0.572     0.172     0.044     0.016
CHE  2003     1.648     0.848     0.573     0.176     0.040     0.012
CHE  2004     1.707     0.889     0.582     0.180     0.040     0.015
CHE  2005     1.665     0.854     0.570     0.184     0.040     0.017
CHE  2006     1.679     0.874     0.569     0.187     0.038     0.011
CHE  2007     1.706     0.874     0.612     0.167     0.039     0.014
CHE  2008     1.753     0.869     0.654     0.175     0.042     0.013
CHE  2009     1.740     0.875     0.632     0.181     0.043     0.009
CHE  2010     1.742     0.901     0.618     0.177     0.036     0.009
TWN  1977     2.805     0.948     0.794     0.520     0.293     0.248
TWN  1978     2.930     0.992     0.903     0.572     0.261     0.203
TWN  1979     2.828     0.960     0.884     0.568     0.235     0.181
TWN  1980     2.757     0.907     0.901     0.580     0.226     0.142
TWN  1981     2.705     0.941     0.861     0.579     0.215     0.109
TWN  1982     2.610     0.961     0.830     0.537     0.192     0.090
TWN  1983     2.505     0.943     0.833     0.486     0.169     0.073
TWN  1984     2.437     0.922     0.865     0.424     0.158     0.068
TWN  1985     2.288     0.856     0.832     0.401     0.137     0.062
TWN  1986     2.015     0.802     0.705     0.351     0.110     0.048
TWN  1987     2.039     0.817     0.740     0.357     0.094     0.031
TWN  1988     2.318     0.847     0.839     0.480     0.120     0.033
TWN  1989     2.049     0.822     0.716     0.386     0.094     0.032
TWN  1990     2.059     0.847     0.736     0.370     0.082     0.024
TWN  1991     1.975     0.798     0.709     0.364     0.081     0.023
TWN  1992     1.964     0.860     0.687     0.323     0.070     0.024
TWN  1993     2.019     0.904     0.698     0.329     0.072     0.017
TWN  1994     2.051     0.925     0.722     0.324     0.066     0.014
TWN  1995     1.994     0.899     0.723     0.301     0.056     0.014
TWN  1996     2.019     0.898     0.749     0.305     0.054     0.014
TWN  1997     2.114     0.928     0.797     0.322     0.054     0.014
TWN  1998     1.794     0.872     0.621     0.246     0.046     0.010
TWN  1999     1.812     0.852     0.685     0.228     0.040     0.008
TWN  2000     1.864     0.797     0.725     0.278     0.052     0.011
TWN  2001     1.558     0.760     0.556     0.202     0.032     0.008
TWN  2002     1.579     0.822     0.551     0.169     0.031     0.007
TWN  2003     1.513     0.795     0.540     0.144     0.027     0.006
TWN  2004     1.486     0.780     0.546     0.133     0.021     0.007
TWN  2005     1.554     0.824     0.578     0.126     0.020     0.006
TWN  2006     1.668     0.959     0.565     0.120     0.018     0.006
TWN  2007     1.602     0.871     0.584     0.119     0.021     0.007
TWN  2008     1.543     0.833     0.560     0.124     0.021     0.006
TWN  2009     1.559     0.801     0.609     0.125     0.018     0.006
GBR_NIR  1998     1.998     0.759     0.610     0.392     0.142     0.096
GBR_NIR  1999     2.046     0.819     0.631     0.351     0.163     0.082
GBR_NIR  2000     2.093     0.926     0.646     0.299     0.151     0.071
GBR_NIR  2001     2.187     0.940     0.727     0.318     0.110     0.093
GBR_NIR  2002     2.055     0.883     0.666     0.319     0.112     0.075
GBR_NIR  2003     2.190     0.983     0.699     0.323     0.120     0.066
GBR_NIR  2004     2.228     0.936     0.765     0.353     0.124     0.049
GBR_NIR  2005     2.043     0.846     0.683     0.334     0.132     0.048
GBR_NIR  2006     2.212     0.985     0.713     0.325     0.116     0.073
GBR_NIR  2007     2.253     0.992     0.711     0.362     0.121     0.066
GBR_NIR  2008     2.236     0.907     0.751     0.386     0.130     0.062
GBR_NIR  2009     2.237     0.985     0.737     0.351     0.108     0.057
GBR_NIR  2010     2.215     0.947     0.728     0.361     0.126     0.053
USA  1934     2.101     0.654     0.477     0.304     0.197     0.469
USA  1935     2.098     0.741     0.444     0.289     0.187     0.437
USA  1936     2.011     0.740     0.435     0.262     0.176     0.398
USA  1937     2.060     0.762     0.478     0.258     0.172     0.391
USA  1938     2.170     0.831     0.522     0.272     0.170     0.375
USA  1939     2.107     0.844     0.520     0.262     0.151     0.329
USA  1940     2.158     0.828     0.563     0.283     0.157     0.327
USA  1941     2.331     0.887     0.609     0.322     0.177     0.336
USA  1942     2.615     1.012     0.704     0.373     0.192     0.334
USA  1943     2.814     0.907     0.873     0.456     0.226     0.353
USA  1944     3.071     0.840     0.997     0.582     0.265     0.387
USA  1945     2.638     0.894     0.654     0.475     0.245     0.369
USA  1946     2.507     0.964     0.603     0.370     0.227     0.343
USA  1947     2.493     0.959     0.637     0.357     0.213     0.327
USA  1948     2.400     0.917     0.649     0.347     0.186     0.301
USA  1949     2.646     0.932     0.798     0.394     0.204     0.318
