Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 25/09/2014
Code Cohort   sdCMAB   sdCMAB40
AUT  1936       5.30       5.02
AUT  1937       5.22       4.96
AUT  1938       5.18       4.93
AUT  1939       5.10       4.86
AUT  1940       5.08       4.84
AUT  1941       5.10       4.85
AUT  1942       5.17       4.90
AUT  1943       5.14       4.91
AUT  1944       5.20       4.96
AUT  1945       5.31       5.05
AUT  1946       5.29       5.05
AUT  1947       5.30       5.07
AUT  1948       5.36       5.12
AUT  1949       5.40       5.14
AUT  1950       5.45       5.20
AUT  1951       5.45       5.21
AUT  1952       5.47       5.21
AUT  1953       5.50       5.24
AUT  1954       5.52       5.26
AUT  1955       5.57       5.30
AUT  1956       5.60       5.32
AUT  1957       5.59       5.31
AUT  1958       5.60       5.31
AUT  1959       5.59       5.28
AUT  1960       5.62       5.29
AUT  1961          .       5.28
AUT  1962          .       5.29
AUT  1963          .       5.29
AUT  1964          .       5.28
AUT  1965          .       5.29
AUT  1966          .       5.27
AUT  1967          .       5.32
AUT  1968          .       5.33
AUT  1969          .       5.35
AUT  1970          .       5.38
BLR  1949       4.87       4.67
BLR  1950       4.88       4.69
BLR  1951       4.86       4.69
BLR  1952       4.84       4.67
BLR  1953       4.80       4.64
BLR  1954       4.73       4.57
BLR  1955       4.65       4.50
BLR  1956       4.58       4.43
BLR  1957       4.52       4.36
BLR  1958       4.47       4.30
BLR  1959       4.44       4.27
BLR  1960       4.42       4.23
BLR  1961       4.41       4.21
BLR  1962       4.43       4.22
BLR  1963          .       4.27
BLR  1964          .       4.34
BLR  1965          .       4.42
BLR  1966          .       4.49
BLR  1967          .       4.58
BLR  1968          .       4.71
BLR  1969          .       4.84
BLR  1970          .       5.01
BLR  1971          .       5.16
BLR  1972          .       5.31
BGR  1932       4.91       4.69
BGR  1933       4.87       4.67
BGR  1934       4.86       4.66
BGR  1935       4.85       4.66
BGR  1936       4.88       4.69
BGR  1937       4.86       4.70
BGR  1938       4.86       4.70
BGR  1939       4.85       4.70
BGR  1940       4.85       4.70
BGR  1941       4.81       4.66
BGR  1942       4.79       4.65
BGR  1943       4.74       4.60
BGR  1944       4.72       4.56
BGR  1945       4.65       4.49
BGR  1946       4.63       4.49
BGR  1947       4.61       4.46
BGR  1948       4.61       4.45
BGR  1949       4.57       4.43
BGR  1950       4.55       4.41
BGR  1951       4.58       4.43
BGR  1952       4.58       4.44
BGR  1953       4.57       4.43
BGR  1954       4.56       4.42
BGR  1955       4.56       4.42
BGR  1956       4.51       4.37
BGR  1957       4.50       4.37
BGR  1958       4.52       4.35
BGR  1959       4.54       4.37
BGR  1960          .       4.37
BGR  1961          .       4.37
BGR  1962          .       4.40
BGR  1963          .       4.42
BGR  1964          .       4.47
BGR  1965          .       4.54
BGR  1966          .       4.72
BGR  1967          .       4.91
BGR  1968          .       5.02
BGR  1969          .       5.24
CAN  1906       6.45       5.70
CAN  1907       6.47       5.74
CAN  1908       6.48       5.77
CAN  1909       6.48       5.79
CAN  1910       6.46       5.78
CAN  1911       6.42       5.73
CAN  1912       6.35       5.67
CAN  1913       6.27       5.60
CAN  1914       6.18       5.52
CAN  1915       6.14       5.48
CAN  1916       6.12       5.47
CAN  1917       6.10       5.47
CAN  1918       6.08       5.47
CAN  1919       6.04       5.45
CAN  1920       6.00       5.40
CAN  1921       5.94       5.39
CAN  1922       5.88       5.37
CAN  1923       5.82       5.35
CAN  1924       5.76       5.34
CAN  1925       5.69       5.31
CAN  1926       5.63       5.28
CAN  1927       5.55       5.24
CAN  1928       5.46       5.17
CAN  1929       5.37       5.12
CAN  1930       5.30       5.07
