Conditional fertility rates by calendar year, age and birth order (based on parity distribution from population census)
Last modified: 25/09/2014
Code Year  Age       m1x       m2x       m3x       m4x      m5px
AUT  2001   52   0.00000   0.00000   0.00000   0.00000   0.00000
AUT  2001   53   0.00000   0.00000   0.00000   0.00000   0.00000
AUT  2001   54   0.00000   0.00000   0.00000   0.00000   0.00000
AUT  2001   55+  0.00022   0.00000   0.00000   0.00000   0.00000
BLR  1989   12-  0.00000         .         .         .         .
BLR  1989   13   0.00000         .         .         .         .
BLR  1989   14   0.00006   0.01946         .         .         .
BLR  1989   15   0.00073   0.01116         .         .         .
BLR  1989   16   0.00506   0.01076   0.00000         .         .
BLR  1989   17   0.01828   0.03539   0.00000         .         .
BLR  1989   18   0.05559   0.05409   0.02476   0.00000         .
BLR  1989   19   0.13509   0.06990   0.03283   0.03607         .
BLR  1989   20   0.20903   0.10193   0.04532   0.01642   0.00000
BLR  1989   21   0.25615   0.12501   0.04588   0.05161   0.00000
BLR  1989   22   0.27488   0.14569   0.04997   0.06616   0.05046
BLR  1989   23   0.26939   0.15863   0.05088   0.06076   0.12662
BLR  1989   24   0.23620   0.16862   0.04291   0.05958   0.12094
BLR  1989   25   0.20663   0.16293   0.03748   0.05791   0.10792
BLR  1989   26   0.19210   0.17265   0.03705   0.05536   0.11551
BLR  1989   27   0.17202   0.17205   0.03252   0.04902   0.12652
BLR  1989   28   0.15256   0.16701   0.02685   0.04685   0.11140
BLR  1989   29   0.14069   0.15858   0.02598   0.04223   0.10638
BLR  1989   30   0.12421   0.13817   0.02318   0.03685   0.10975
BLR  1989   31   0.10560   0.11991   0.02113   0.02721   0.09353
BLR  1989   32   0.09938   0.09860   0.01809   0.02811   0.08520
BLR  1989   33   0.08217   0.08463   0.01537   0.02368   0.08195
BLR  1989   34   0.07415   0.06483   0.01433   0.02182   0.08553
BLR  1989   35   0.07091   0.05248   0.01167   0.01666   0.06852
BLR  1989   36   0.05145   0.03768   0.00951   0.01539   0.05684
BLR  1989   37   0.04152   0.02903   0.00722   0.01332   0.05496
BLR  1989   38   0.03869   0.02060   0.00584   0.00918   0.04306
BLR  1989   39   0.02788   0.01362   0.00418   0.00890   0.03598
