Cumulative period fertility rates by birth order (Lexis squares)
Last modified: 25/09/2014
Code Year    Age     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
AUT  1984    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1984    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1984    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1984    15     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1984    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1984    17     0.008     0.008     0.000     0.000     0.000     0.000
AUT  1984    18     0.028     0.027     0.001     0.000     0.000     0.000
AUT  1984    19     0.066     0.062     0.004     0.000     0.000     0.000
AUT  1984    20     0.130     0.116     0.013     0.001     0.000     0.000
AUT  1984    21     0.216     0.183     0.031     0.002     0.000     0.000
AUT  1984    22     0.315     0.249     0.059     0.006     0.001     0.000
AUT  1984    23     0.427     0.316     0.097     0.012     0.001     0.000
AUT  1984    24     0.542     0.377     0.142     0.020     0.002     0.000
AUT  1984    25     0.658     0.434     0.188     0.032     0.004     0.001
AUT  1984    26     0.775     0.485     0.236     0.046     0.007     0.001
AUT  1984    27     0.883     0.527     0.282     0.061     0.011     0.002
AUT  1984    28     0.983     0.565     0.322     0.079     0.014     0.003
AUT  1984    29     1.073     0.593     0.360     0.095     0.019     0.005
AUT  1984    30     1.155     0.617     0.393     0.113     0.025     0.007
AUT  1984    31     1.224     0.634     0.420     0.130     0.031     0.009
AUT  1984    32     1.284     0.648     0.441     0.145     0.037     0.013
AUT  1984    33     1.333     0.657     0.458     0.159     0.043     0.016
AUT  1984    34     1.375     0.664     0.471     0.170     0.050     0.020
AUT  1984    35     1.410     0.670     0.480     0.180     0.056     0.024
AUT  1984    36     1.438     0.674     0.488     0.188     0.060     0.028
AUT  1984    37     1.460     0.677     0.494     0.194     0.064     0.031
AUT  1984    38     1.479     0.680     0.498     0.199     0.068     0.035
AUT  1984    39     1.493     0.682     0.501     0.202     0.070     0.038
AUT  1984    40     1.502     0.683     0.503     0.204     0.072     0.040
AUT  1984    41     1.509     0.684     0.504     0.206     0.073     0.042
AUT  1984    42     1.514     0.684     0.505     0.207     0.074     0.044
AUT  1984    43     1.518     0.684     0.505     0.208     0.075     0.045
AUT  1984    44     1.520     0.685     0.505     0.208     0.075     0.046
AUT  1984    45     1.521     0.685     0.506     0.209     0.076     0.047
AUT  1984    46     1.522     0.685     0.506     0.209     0.076     0.047
AUT  1984    47     1.522     0.685     0.506     0.209     0.076     0.047
AUT  1984    48     1.522     0.685     0.506     0.209     0.076     0.047
AUT  1984    49     1.522     0.685     0.506     0.209     0.076     0.047
AUT  1984    50     1.522     0.685     0.506     0.209     0.076     0.047
AUT  1984    51     1.522     0.685     0.506     0.209     0.076     0.047
AUT  1984    52     1.522     0.685     0.506     0.209     0.076     0.047
AUT  1984    53     1.522     0.685     0.506     0.209     0.076     0.047
AUT  1984    54     1.522     0.685     0.506     0.209     0.076     0.047
AUT  1984    55     1.522     0.685     0.506     0.209     0.076     0.047
AUT  1985    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1985    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1985    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1985    15     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1985    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1985    17     0.008     0.008     0.000     0.000     0.000     0.000
AUT  1985    18     0.026     0.025     0.001     0.000     0.000     0.000
AUT  1985    19     0.061     0.057     0.004     0.000     0.000     0.000
AUT  1985    20     0.119     0.108     0.011     0.001     0.000     0.000
AUT  1985    21     0.199     0.169     0.027     0.002     0.000     0.000
AUT  1985    22     0.292     0.234     0.053     0.005     0.000     0.000
AUT  1985    23     0.393     0.295     0.087     0.010     0.001     0.000
AUT  1985    24     0.502     0.354     0.129     0.017     0.002     0.000
AUT  1985    25     0.619     0.409     0.176     0.029     0.004     0.001
AUT  1985    26     0.731     0.459     0.223     0.041     0.006     0.001
AUT  1985    27     0.837     0.502     0.268     0.056     0.010     0.002
AUT  1985    28     0.938     0.538     0.310     0.072     0.014     0.003
