Scotland, Exposure to risk (cohort 5x5)     Last modified: 26-Apr-2013, MPv5 (May07)

   Year      Age       Female          Male         Total
1777-1779      0               .            .            . 
1777-1779    1-4               .            .            . 
1777-1779    5-9               .            .            . 
1777-1779   10-14              .            .            . 
1777-1779   15-19              .            .            . 
1777-1779   20-24              .            .            . 
1777-1779   25-29              .            .            . 
1777-1779   30-34              .            .            . 
1777-1779   35-39              .            .            . 
1777-1779   40-44              .            .            . 
1777-1779   45-49              .            .            . 
1777-1779   50-54              .            .            . 
1777-1779   55-59              .            .            . 
1777-1779   60-64              .            .            . 
1777-1779   65-69              .            .            . 
1777-1779   70-74              .            .            . 
1777-1779   75-79              .            .            . 
1777-1779   80-84       31072.96     19509.18     50582.14 
1777-1779   85-89       12836.32      7227.37     20063.69 
1777-1779   90-94        4099.41      1917.05      6016.46 
1777-1779   95-99        1003.80       358.55      1362.35 
1777-1779  100-104        139.71        27.81       167.52 
1777-1779  105-109          5.93         0.00         5.93 
1777-1779  110+             0.00         0.00         0.00 
1780-1784      0               .            .            . 
1780-1784    1-4               .            .            . 
1780-1784    5-9               .            .            . 
1780-1784   10-14              .            .            . 
1780-1784   15-19              .            .            . 
1780-1784   20-24              .            .            . 
1780-1784   25-29              .            .            . 
1780-1784   30-34              .            .            . 
1780-1784   35-39              .            .            . 
1780-1784   40-44              .            .            . 
1780-1784   45-49              .            .            . 
1780-1784   50-54              .            .            . 
1780-1784   55-59              .            .            . 
1780-1784   60-64              .            .            . 
1780-1784   65-69              .            .            . 
1780-1784   70-74              .            .            . 
1780-1784   75-79       80237.98     55342.30    135580.28 
1780-1784   80-84       51069.28     31648.04     82717.32 
1780-1784   85-89       20793.80     11665.02     32458.82 
1780-1784   90-94        6216.80      2988.92      9205.72 
1780-1784   95-99        1401.41       562.73      1964.14 
1780-1784  100-104        188.10        57.34       245.44 
1780-1784  105-109          2.40         0.11         2.51 
1780-1784  110+             0.00         0.00         0.00 
1785-1789      0               .            .            . 
1785-1789    1-4               .            .            . 
1785-1789    5-9               .            .            . 
1785-1789   10-14              .            .            . 
1785-1789   15-19              .            .            . 
1785-1789   20-24              .            .            . 
1785-1789   25-29              .            .            . 
1785-1789   30-34              .            .            . 
1785-1789   35-39              .            .            . 
1785-1789   40-44              .            .            . 
1785-1789   45-49              .            .            . 
1785-1789   50-54              .            .            . 
1785-1789   55-59              .            .            . 
1785-1789   60-64              .            .            . 
1785-1789   65-69              .            .            . 
1785-1789   70-74      126787.66     89218.04    216005.70 
1785-1789   75-79       85010.19     56905.53    141915.73 
1785-1789   80-84       52103.11     32798.23     84901.34 
1785-1789   85-89       20473.05     12035.15     32508.20 
1785-1789   90-94        5862.74      3018.23      8880.97 
1785-1789   95-99        1250.55       603.08      1853.63 
1785-1789  100-104        114.07        64.76       178.82 
1785-1789  105-109          1.14         0.29         1.43 
1785-1789  110+             0.00         0.00         0.00 
1790-1794      0               .            .            . 
1790-1794    1-4               .            .            . 
1790-1794    5-9               .            .            . 
1790-1794   10-14              .            .            . 
1790-1794   15-19              .            .            . 
1790-1794   20-24              .            .            . 
1790-1794   25-29              .            .            . 
1790-1794   30-34              .            .            . 
1790-1794   35-39              .            .            . 
1790-1794   40-44              .            .            . 
1790-1794   45-49              .            .            . 
1790-1794   50-54              .            .            . 
1790-1794   55-59              .            .            . 
1790-1794   60-64              .            .            . 
1790-1794   65-69      165785.05    122959.93    288744.98 
1790-1794   70-74      127543.64     91069.94    218613.58 
1790-1794   75-79       85585.56     58710.86    144296.42 
1790-1794   80-84       50040.18     31380.93     81421.12 
1790-1794   85-89       19041.05     10875.45     29916.50 
1790-1794   90-94        5599.41      2660.11      8259.52 
1790-1794   95-99        1030.51       483.01      1513.52 
1790-1794  100-104        114.57        33.67       148.24 
1790-1794  105-109          0.28         0.00         0.28 
1790-1794  110+             0.00         0.00         0.00 
1795-1799      0               .            .            . 
1795-1799    1-4               .            .            . 
1795-1799    5-9               .            .            . 
1795-1799   10-14              .            .            . 
1795-1799   15-19              .            .            . 
1795-1799   20-24              .            .            . 
1795-1799   25-29              .            .            . 
1795-1799   30-34              .            .            . 
1795-1799   35-39              .            .            . 
1795-1799   40-44              .            .            . 
1795-1799   45-49              .            .            . 
1795-1799   50-54              .            .            . 
1795-1799   55-59              .            .            . 
1795-1799   60-64      246666.85    189402.93    436069.78 
1795-1799   65-69      203049.85    151589.13    354638.98 
1795-1799   70-74      150328.96    108490.95    258819.91 
1795-1799   75-79       99814.54     67721.39    167535.93 
1795-1799   80-84       53532.04     33592.70     87124.74 
1795-1799   85-89       21522.87     12039.10     33561.97 
1795-1799   90-94        6178.29      3031.60      9209.89 
1795-1799   95-99        1116.81       394.46      1511.27 
1795-1799  100-104        108.86        21.64       130.50 
1795-1799  105-109          0.49         0.00         0.49 
1795-1799  110+             0.00         0.00         0.00 
1800-1804      0               .            .            . 
1800-1804    1-4               .            .            . 
1800-1804    5-9               .            .            . 
1800-1804   10-14              .            .            . 
1800-1804   15-19              .            .            . 
1800-1804   20-24              .            .            . 
1800-1804   25-29              .            .            . 
1800-1804   30-34              .            .            . 
1800-1804   35-39              .            .            . 
1800-1804   40-44              .            .            . 
1800-1804   45-49              .            .            . 
1800-1804   50-54              .            .            . 
1800-1804   55-59      267625.04    219783.68    487408.72 
1800-1804   60-64      236466.46    188550.14    425016.60 
1800-1804   65-69      197868.78    150965.35    348834.13 
1800-1804   70-74      148394.32    108196.87    256591.19 
1800-1804   75-79       97534.45     67771.90    165306.35 
1800-1804   80-84       57343.83     36323.87     93667.70 
1800-1804   85-89       22856.67     12919.34     35776.00 
1800-1804   90-94        6300.36      3143.02      9443.38 
1800-1804   95-99        1283.44       497.88      1781.33 
1800-1804  100-104        124.96        40.46       165.42 
1800-1804  105-109          0.90         0.00         0.90 
1800-1804  110+             0.00         0.00         0.00 
1805-1809      0               .            .            . 
1805-1809    1-4               .            .            . 
1805-1809    5-9               .            .            . 
1805-1809   10-14              .            .            . 
1805-1809   15-19              .            .            . 
1805-1809   20-24              .            .            . 
1805-1809   25-29              .            .            . 
1805-1809   30-34              .            .            . 
1805-1809   35-39              .            .            . 
1805-1809   40-44              .            .            . 
1805-1809   45-49              .            .            . 
1805-1809   50-54      325240.23    271828.95    597069.18 
1805-1809   55-59      298497.80    243336.34    541834.14 
1805-1809   60-64      261156.93    205013.05    466169.98 
1805-1809   65-69      215472.15    161782.59    377254.74 
1805-1809   70-74      158886.73    113571.80    272458.54 
1805-1809   75-79      106264.03     70964.74    177228.77 
1805-1809   80-84       56640.21     34390.49     91030.69 
1805-1809   85-89       21600.25     11702.34     33302.59 
1805-1809   90-94        6000.42      2703.08      8703.50 
1805-1809   95-99        1112.56       392.28      1504.84 
1805-1809  100-104         93.16        16.64       109.79 
1805-1809  105-109          0.10         0.00         0.10 
1805-1809  110+             0.00         0.00         0.00 
1810-1814      0               .            .            . 
1810-1814    1-4               .            .            . 
1810-1814    5-9               .            .            . 
1810-1814   10-14              .            .            . 
1810-1814   15-19              .            .            . 
1810-1814   20-24              .            .            . 
1810-1814   25-29              .            .            . 
1810-1814   30-34              .            .            . 
1810-1814   35-39              .            .            . 
1810-1814   40-44              .            .            . 
1810-1814   45-49      362331.21    309317.04    671648.25 
1810-1814   50-54      331951.98    278860.38    610812.35 
1810-1814   55-59      297966.63    244207.89    542174.52 
1810-1814   60-64      255951.73    202543.68    458495.41 
1810-1814   65-69      209905.52    157962.09    367867.61 
1810-1814   70-74      159727.33    113260.90    272988.23 
1810-1814   75-79      106201.18     70570.00    176771.18 
1810-1814   80-84       55374.76     33031.54     88406.30 
1810-1814   85-89       21707.20     11041.82     32749.02 
1810-1814   90-94        5652.10      2212.82      7864.91 
1810-1814   95-99        1035.51       268.84      1304.36 
1810-1814  100-104         89.51         8.92        98.43 
1810-1814  105-109          0.50         0.00         0.50 
1810-1814  110+             0.00         0.00         0.00 
1815-1819      0               .            .            . 
1815-1819    1-4               .            .            . 
1815-1819    5-9               .            .            . 
1815-1819   10-14              .            .            . 
1815-1819   15-19              .            .            . 
1815-1819   20-24              .            .            . 
1815-1819   25-29              .            .            . 
1815-1819   30-34              .            .            . 
1815-1819   35-39              .            .            . 
1815-1819   40-44      426978.24    359957.31    786935.55 
1815-1819   45-49      395618.06    331508.09    727126.15 
1815-1819   50-54      355735.29    294486.32    650221.61 
1815-1819   55-59      323641.28    259933.48    583574.76 
1815-1819   60-64      283617.49    217831.98    501449.47 
1815-1819   65-69      234437.67    171623.36    406061.03 
1815-1819   70-74      174990.93    121631.67    296622.60 
1815-1819   75-79      113720.42     73301.02    187021.44 
1815-1819   80-84       59028.70     34339.09     93367.80 
1815-1819   85-89       23168.61     11689.20     34857.81 
1815-1819   90-94        6268.67      2565.52      8834.19 
1815-1819   95-99        1128.78       360.19      1488.97 
1815-1819  100-104         90.47        16.90       107.37 
1815-1819  105-109          0.33         0.00         0.33 
1815-1819  110+             0.00         0.00         0.00 
1820-1824      0               .            .            . 
1820-1824    1-4               .            .            . 
1820-1824    5-9               .            .            . 
1820-1824   10-14              .            .            . 
1820-1824   15-19              .            .            . 
1820-1824   20-24              .            .            . 
1820-1824   25-29              .            .            . 
1820-1824   30-34              .            .            . 
1820-1824   35-39      474055.37    393151.08    867206.46 
1820-1824   40-44      441565.70    368174.72    809740.42 
1820-1824   45-49      404976.92    338679.11    743656.03 
1820-1824   50-54      362628.45    299766.71    662395.16 
1820-1824   55-59      323539.17    261333.86    584873.03 
1820-1824   60-64      279909.95    217621.45    497531.40 
1820-1824   65-69      231077.19    171129.54    402206.73 
1820-1824   70-74      172786.88    120744.33    293531.22 
1820-1824   75-79      114035.07     74365.96    188401.02 
1820-1824   80-84       61500.48     34834.10     96334.58 
1820-1824   85-89       24597.50     12029.16     36626.66 
1820-1824   90-94        6638.61      2760.60      9399.21 
1820-1824   95-99        1179.60       378.71      1558.31 
1820-1824  100-104        102.43         4.68       107.11 
1820-1824  105-109          0.09         0.00         0.09 
1820-1824  110+             0.00         0.00         0.00 
1825-1829      0               .            .            . 
1825-1829    1-4               .            .            . 
1825-1829    5-9               .            .            . 
1825-1829   10-14              .            .            . 
1825-1829   15-19              .            .            . 
1825-1829   20-24              .            .            . 
1825-1829   25-29              .            .            . 
1825-1829   30-34      541808.93    443628.00    985436.94 
1825-1829   35-39      506732.14    417946.22    924678.35 
1825-1829   40-44      465096.77    388292.93    853389.70 
1825-1829   45-49      428893.12    357429.91    786323.03 
1825-1829   50-54      387251.65    319066.11    706317.76 
1825-1829   55-59      351044.61    281994.57    633039.18 
1825-1829   60-64      304132.58    236157.80    540290.38 
1825-1829   65-69      248362.93    184057.37    432420.30 
1825-1829   70-74      183865.30    128922.03    312787.33 
1825-1829   75-79      119969.16     76681.18    196650.34 
1825-1829   80-84       63967.38     36790.26    100757.64 
1825-1829   85-89       25855.69     12874.33     38730.02 
1825-1829   90-94        7095.77      2795.15      9890.92 
1825-1829   95-99        1248.60       396.02      1644.62 
1825-1829  100-104         78.84         9.49        88.33 
1825-1829  105-109          0.00         0.00         0.00 
1825-1829  110+             0.00         0.00         0.00 
1830-1834      0               .            .            . 
1830-1834    1-4               .            .            . 
1830-1834    5-9               .            .            . 
1830-1834   10-14              .            .            . 
1830-1834   15-19              .            .            . 
1830-1834   20-24              .            .            . 
1830-1834   25-29      633502.24    497072.84   1130575.08 
1830-1834   30-34      585540.01    464764.54   1050304.55 
1830-1834   35-39      530056.43    430298.61    960355.03 
1830-1834   40-44      482248.86    397891.49    880140.35 
1830-1834   45-49      445945.23    369347.01    815292.23 
1830-1834   50-54      399522.33    327723.84    727246.17 
1830-1834   55-59      354642.18    286014.39    640656.57 
1830-1834   60-64      303896.21    237013.14    540909.35 
1830-1834   65-69      251255.93    186315.83    437571.75 
1830-1834   70-74      189539.56    130916.34    320455.90 
1830-1834   75-79      126400.08     79278.88    205678.97 
1830-1834   80-84       68150.07     37494.93    105645.00 
1830-1834   85-89       27297.13     12438.12     39735.25 
1830-1834   90-94        7279.39      2483.04      9762.44 
1830-1834   95-99        1242.88       330.71      1573.59 
1830-1834  100-104         81.92        11.29        93.22 
1830-1834  105-109          0.00         0.00         0.00 
1830-1834  110+             0.00         0.00         0.00 
1835-1839      0               .            .            . 
1835-1839    1-4               .            .            . 
1835-1839    5-9               .            .            . 
1835-1839   10-14              .            .            . 
1835-1839   15-19              .            .            . 
1835-1839   20-24      733584.84    603606.65   1337191.49 
1835-1839   25-29      673632.48    551533.50   1225165.98 
1835-1839   30-34      597432.65    492398.57   1089831.22 
1835-1839   35-39      551198.06    461272.23   1012470.28 
1835-1839   40-44      511319.34    433548.43    944867.77 
1835-1839   45-49      473530.66    399737.71    873268.37 
1835-1839   50-54      425866.56    354451.95    780318.50 
1835-1839   55-59      385082.78    313926.55    699009.33 
1835-1839   60-64      335663.03    264635.67    600298.70 
1835-1839   65-69      285907.18    210579.44    496486.61 
1835-1839   70-74      226496.15    152588.26    379084.41 
1835-1839   75-79      145478.79     88498.42    233977.21 
1835-1839   80-84       78392.49     42515.21    120907.70 
1835-1839   85-89       31111.11     14493.34     45604.44 
1835-1839   90-94        7768.56      2853.33     10621.88 
1835-1839   95-99        1252.97       348.26      1601.22 
1835-1839  100-104         72.05        15.55        87.60 
1835-1839  105-109          0.09         0.00         0.09 
1835-1839  110+             0.00         0.00         0.00 
1840-1844      0               .            .            . 
1840-1844    1-4               .            .            . 
1840-1844    5-9               .            .            . 
1840-1844   10-14              .            .            . 
1840-1844   15-19      784554.07    723519.88   1508073.95 
1840-1844   20-24      745148.76    662346.43   1407495.19 
1840-1844   25-29      687955.40    582148.44   1270103.84 
1840-1844   30-34      627576.21    529389.62   1156965.83 
1840-1844   35-39      576545.82    493407.42   1069953.24 
1840-1844   40-44      531053.22    458358.28    989411.51 
1840-1844   45-49      492521.88    423385.98    915907.86 
1840-1844   50-54      444860.38    378520.64    823381.02 
1840-1844   55-59      396937.41    333187.46    730124.88 
1840-1844   60-64      346031.52    280827.88    626859.40 
1840-1844   65-69      294570.62    225981.29    520551.91 
1840-1844   70-74      228610.73    159355.33    387966.06 
1840-1844   75-79      147407.80     93508.63    240916.43 
1840-1844   80-84       84418.27     44381.24    128799.51 
1840-1844   85-89       33083.85     14366.25     47450.10 
1840-1844   90-94        8318.54      2798.02     11116.56 
1840-1844   95-99        1281.04       339.02      1620.06 
1840-1844  100-104         83.84        12.05        95.89 
1840-1844  105-109          0.00         0.00         0.00 
1840-1844  110+             0.00         0.00         0.00 
1845-1849      0               .            .            . 
1845-1849    1-4               .            .            . 
1845-1849    5-9               .            .            . 
1845-1849   10-14      793747.00    804572.45   1598319.45 
1845-1849   15-19      778806.93    757651.99   1536458.92 
1845-1849   20-24      751354.20    680557.84   1431912.03 
1845-1849   25-29      694505.31    611827.16   1306332.47 
1845-1849   30-34      626463.93    554168.88   1180632.81 
1845-1849   35-39      579004.34    515594.16   1094598.50 
1845-1849   40-44      536579.83    479380.51   1015960.34 
1845-1849   45-49      499618.99    446664.83    946283.82 
1845-1849   50-54      454753.14    404605.19    859358.33 
1845-1849   55-59      405174.51    354865.66    760040.17 
1845-1849   60-64      350253.18    297511.18    647764.36 
1845-1849   65-69      300233.17    234795.58    535028.75 
1845-1849   70-74      234723.03    166774.67    401497.70 
1845-1849   75-79      155375.18     98409.14    253784.31 
1845-1849   80-84       85567.88     47753.11    133321.00 
1845-1849   85-89       33615.34     15820.23     49435.57 
1845-1849   90-94        8479.19      3083.71     11562.90 
1845-1849   95-99        1257.41       339.60      1597.01 
1845-1849  100-104         87.99         6.35        94.34 
1845-1849  105-109          0.00         0.00         0.00 
1845-1849  110+             0.00         0.00         0.00 
1850-1854      0               .            .            . 
1850-1854    1-4               .            .            . 
1850-1854    5-9       872445.60    899681.88   1772127.48 
1850-1854   10-14      846941.01    859783.23   1706724.23 
1850-1854   15-19      823897.09    809527.37   1633424.45 
1850-1854   20-24      785890.58    739387.89   1525278.48 
1850-1854   25-29      731369.64    665469.81   1396839.45 
1850-1854   30-34      671368.24    609557.68   1280925.92 
1850-1854   35-39      610936.17    558822.63   1169758.80 
1850-1854   40-44      567203.22    522557.39   1089760.61 
1850-1854   45-49      529430.57    488285.70   1017716.27 
1850-1854   50-54      481215.60    440310.78    921526.38 
1850-1854   55-59      426852.30    385361.03    812213.33 
1850-1854   60-64      378864.20    333354.35    712218.56 
1850-1854   65-69      322741.63    269132.92    591874.55 
1850-1854   70-74      255189.76    194920.23    450109.99 
1850-1854   75-79      170017.02    112659.59    282676.61 
1850-1854   80-84       96313.41     55471.51    151784.93 
1850-1854   85-89       38016.62     18068.91     56085.53 
1850-1854   90-94        9620.70      3433.23     13053.93 
1850-1854   95-99        1412.15       361.69      1773.84 
1850-1854  100-104         78.56        11.86        90.42 
1850-1854  105-109          0.00         0.00         0.00 
1850-1854  110+             0.00         0.00         0.00 
1855-1859      0       233341.54    243718.06    477059.60 
1855-1859    1-4       809054.53    835515.50   1644570.03 
1855-1859    5-9       933628.09    965984.94   1899613.03 
1855-1859   10-14      906179.73    931925.34   1838105.07 
1855-1859   15-19      886369.56    880979.50   1767349.05 
1855-1859   20-24      856113.79    810130.43   1666244.22 
1855-1859   25-29      790060.71    729121.57   1519182.29 
1855-1859   30-34      709641.45    650631.19   1360272.64 
1855-1859   35-39      660093.03    609864.62   1269957.65 
1855-1859   40-44      621533.29    579445.61   1200978.90 
1855-1859   45-49      578645.69    536582.75   1115228.44 
1855-1859   50-54      528103.76    484987.78   1013091.54 
1855-1859   55-59      472720.28    432694.64    905414.92 
1855-1859   60-64      416668.96    368605.53    785274.49 
1855-1859   65-69      359643.61    300207.66    659851.27 
1855-1859   70-74      295346.97    227650.10    522997.07 
1855-1859   75-79      194266.00    133973.13    328239.13 
1855-1859   80-84      110708.75     64833.07    175541.82 
1855-1859   85-89       45106.88     21361.42     66468.30 
1855-1859   90-94       12087.29      4532.07     16619.36 
1855-1859   95-99        1810.85       513.64      2324.49 
1855-1859  100-104        149.10        15.80       164.90 
1855-1859  105-109          0.89         0.00         0.89 
1855-1859  110+             0.00         0.00         0.00 
1860-1864      0       242725.40    252774.30    495499.71 
1860-1864    1-4       839270.67    862034.14   1701304.81 
1860-1864    5-9       979418.18   1005296.49   1984714.67 
1860-1864   10-14      955973.57    971153.15   1927126.73 
1860-1864   15-19      931664.82    926330.06   1857994.88 
1860-1864   20-24      883411.57    833690.44   1717102.01 
1860-1864   25-29      820758.83    733136.99   1553895.81 
1860-1864   30-34      762359.84    682440.78   1444800.62 
1860-1864   35-39      713811.96    652446.85   1366258.81 
1860-1864   40-44      664764.74    610876.82   1275641.56 
1860-1864   45-49      614140.45    564123.30   1178263.75 
1860-1864   50-54      559749.00    516362.08   1076111.09 
1860-1864   55-59      508570.52    466755.11    975325.62 
1860-1864   60-64      448474.31    402505.59    850979.89 
1860-1864   65-69      389440.97    327924.29    717365.27 
1860-1864   70-74      306215.81    240328.20    546544.01 
1860-1864   75-79      215862.62    149133.18    364995.80 
1860-1864   80-84      125714.45     73697.64    199412.09 
1860-1864   85-89       52821.80     24907.79     77729.58 
1860-1864   90-94       14373.49      4925.54     19299.03 
1860-1864   95-99        2220.41       580.01      2800.42 
1860-1864  100-104        213.61        35.74       249.35 
1860-1864  105-109          6.69         0.00         6.69 
1860-1864  110+             0.00         0.00         0.00 
1865-1869      0       258387.82    269720.27    528108.09 
1865-1869    1-4       886816.28    911688.25   1798504.53 
1865-1869    5-9      1023224.06   1051537.09   2074761.15 
1865-1869   10-14      993442.89   1015837.67   2009280.56 
1865-1869   15-19      963298.76    948045.85   1911344.62 
1865-1869   20-24      924475.48    856896.78   1781372.26 
1865-1869   25-29      872852.58    792402.24   1665254.83 
1865-1869   30-34      812442.14    742970.77   1555412.91 
1865-1869   35-39      757723.23    699665.18   1457388.41 
1865-1869   40-44      705792.42    657423.59   1363216.01 
1865-1869   45-49      653561.20    616501.60   1270062.80 
1865-1869   50-54      606883.30    574408.21   1181291.51 
1865-1869   55-59      543775.23    509897.55   1053672.78 
1865-1869   60-64      486601.10    442543.92    929145.02 
1865-1869   65-69      428918.53    369425.50    798344.02 
1865-1869   70-74      347995.21    276901.15    624896.36 
1865-1869   75-79      255537.70    181747.74    437285.44 
1865-1869   80-84      140790.63     86953.70    227744.33 
1865-1869   85-89       58798.78     29383.45     88182.23 
1865-1869   90-94       16233.06      6147.41     22380.47 
1865-1869   95-99        2744.03       694.80      3438.83 
1865-1869  100-104        280.90        43.74       324.64 
1865-1869  105-109         10.71         0.00        10.71 
1865-1869  110+             0.00         0.00         0.00 
1870-1874      0       266479.53    278107.57    544587.10 
1870-1874    1-4       923251.51    948143.75   1871395.26 
1870-1874    5-9      1081773.47   1110623.29   2192396.76 
1870-1874   10-14     1053872.72   1073727.95   2127600.68 
1870-1874   15-19     1019876.19   1019286.73   2039162.92 
1870-1874   20-24      992085.44    952527.48   1944612.92 
1870-1874   25-29      950304.24    880664.25   1830968.48 
1870-1874   30-34      890359.60    825105.80   1715465.40 
1870-1874   35-39      818822.05    768969.80   1587791.86 
1870-1874   40-44      762169.40    727270.36   1489439.77 
1870-1874   45-49      720339.23    692277.88   1412617.11 
1870-1874   50-54      662003.28    641380.66   1303383.93 
1870-1874   55-59      595203.75    569901.44   1165105.19 
