PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
GBR_SCO,01,m,1855,1855,1,O,47804,1,.,.,1
GBR_SCO,01,m,1856,1856,1,O,52239,1,.,.,1
GBR_SCO,01,m,1857,1857,1,O,53158,1,.,.,1
GBR_SCO,01,m,1858,1858,1,O,53694,1,.,.,1
GBR_SCO,01,m,1859,1859,1,O,54628,1,.,.,1
GBR_SCO,01,m,1860,1860,1,O,54409,1,.,.,1
GBR_SCO,01,m,1861,1861,1,O,54606,1,.,.,1
GBR_SCO,01,m,1862,1862,1,O,55257,1,.,.,1
GBR_SCO,01,m,1863,1863,1,O,56226,1,.,.,1
GBR_SCO,01,m,1864,1864,1,O,57374,1,.,.,1
GBR_SCO,01,m,1865,1865,1,O,58220,1,.,.,1
GBR_SCO,01,m,1866,1866,1,O,58360,1,.,.,1
GBR_SCO,01,m,1867,1867,1,O,58517,1,.,.,1
GBR_SCO,01,m,1868,1868,1,O,59222,1,.,.,1
GBR_SCO,01,m,1869,1869,1,O,58321,1,.,.,1
GBR_SCO,01,m,1870,1870,1,O,58959,1,.,.,1
GBR_SCO,01,m,1871,1871,1,O,60029,1,.,.,1
GBR_SCO,01,m,1872,1872,1,O,61293,1,.,.,1
GBR_SCO,01,m,1873,1873,1,O,61467,1,.,.,1
GBR_SCO,01,m,1874,1874,1,O,63602,1,.,.,1
GBR_SCO,01,m,1875,1875,1,O,63432,.,.,.,1
GBR_SCO,01,m,1876,1876,1,O,64819,.,.,.,1
GBR_SCO,01,m,1877,1877,1,O,65089,.,.,.,1
GBR_SCO,01,m,1878,1878,1,O,65200,.,.,.,1
GBR_SCO,01,m,1879,1879,1,O,64346,.,.,.,1
GBR_SCO,01,m,1880,1880,1,O,63786,.,.,.,1
GBR_SCO,01,m,1881,1881,1,O,64720,.,.,.,1
GBR_SCO,01,m,1882,1882,1,O,64505,.,.,.,1
GBR_SCO,01,m,1883,1883,1,O,63879,.,.,.,1
GBR_SCO,01,m,1884,1884,1,O,66379,.,.,.,1
GBR_SCO,01,m,1885,1885,1,O,64543,.,.,.,1
GBR_SCO,01,m,1886,1886,1,O,65910,.,.,.,1
GBR_SCO,01,m,1887,1887,1,O,63842,.,.,.,1
GBR_SCO,01,m,1888,1888,1,O,63129,.,.,.,1
GBR_SCO,01,m,1889,1889,1,O,63303,.,.,.,1
GBR_SCO,01,m,1890,1890,1,O,62187,.,.,.,1
GBR_SCO,01,m,1891,1891,1,O,64769,.,.,.,1
GBR_SCO,01,m,1892,1892,1,O,64356,.,.,.,1
GBR_SCO,01,m,1893,1893,1,O,65010,.,.,.,1
GBR_SCO,01,m,1894,1894,1,O,63857,.,.,.,1
GBR_SCO,01,m,1895,1895,1,O,64799,.,.,.,1
GBR_SCO,01,m,1896,1896,1,O,66214,.,.,.,1
GBR_SCO,01,m,1897,1897,1,O,65817,.,.,.,1
GBR_SCO,01,m,1898,1898,1,O,66814,.,.,.,1
GBR_SCO,01,m,1899,1899,1,O,66778,.,.,.,1
GBR_SCO,01,m,1900,1900,1,O,67147,.,.,.,1
GBR_SCO,01,m,1901,1901,1,O,67753,.,.,.,1
GBR_SCO,01,m,1902,1902,1,O,67442,.,.,.,1
GBR_SCO,01,m,1903,1903,1,O,68087,.,.,.,1
GBR_SCO,01,m,1904,1904,1,O,67794,.,.,.,1
GBR_SCO,01,m,1905,1905,1,O,66750,.,.,.,1
