PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
GBR_SCO,01,m,40,5,C,02,04,1871,9,O,80003,.,.,.,1
GBR_SCO,01,m,45,5,C,02,04,1871,9,O,67272,.,.,.,1
GBR_SCO,01,m,50,5,C,02,04,1871,9,O,60916,.,.,.,1
GBR_SCO,01,m,55,5,C,02,04,1871,9,O,47490,.,.,.,1
GBR_SCO,01,m,60,5,C,02,04,1871,9,O,43040,.,.,.,1
GBR_SCO,01,m,65,5,C,02,04,1871,9,O,29172,.,.,.,1
GBR_SCO,01,m,70,5,C,02,04,1871,9,O,22842,.,.,.,1
GBR_SCO,01,m,75,5,C,02,04,1871,9,O,11755,.,.,.,1
GBR_SCO,01,m,80,5,C,02,04,1871,9,O,6180,.,.,.,1
GBR_SCO,01,m,85,5,C,02,04,1871,9,O,1990,.,.,.,1
GBR_SCO,01,m,90,5,C,02,04,1871,9,O,489,.,.,.,1
GBR_SCO,01,m,95,5,C,02,04,1871,9,O,99,.,.,.,1
GBR_SCO,01,m,100,5,C,02,04,1871,9,O,23,.,.,.,1
GBR_SCO,01,m,105,+,C,02,04,1871,9,O,0,.,.,.,1
GBR_SCO,01,m,UNK,.,C,02,04,1871,9,O,0,.,.,.,1
GBR_SCO,01,m,TOT,.,C,02,04,1871,9,O,1603143,.,.,.,1
GBR_SCO,01,f,0,1,C,02,04,1871,9,O,49921,.,.,.,1
GBR_SCO,01,f,1,1,C,02,04,1871,9,O,43062,.,.,.,1
GBR_SCO,01,f,2,1,C,02,04,1871,9,O,44788,.,.,.,1
GBR_SCO,01,f,3,1,C,02,04,1871,9,O,44283,.,.,.,1
GBR_SCO,01,f,4,1,C,02,04,1871,9,O,42760,.,.,.,1
GBR_SCO,01,f,5,5,C,02,04,1871,9,O,200159,.,.,.,1
GBR_SCO,01,f,10,5,C,02,04,1871,9,O,182192,.,.,.,1
GBR_SCO,01,f,15,5,C,02,04,1871,9,O,168286,.,.,.,1
GBR_SCO,01,f,20,5,C,02,04,1871,9,O,153980,.,.,.,1
GBR_SCO,01,f,25,5,C,02,04,1871,9,O,138818,.,.,.,1
GBR_SCO,01,f,30,5,C,02,04,1871,9,O,120175,.,.,.,1
GBR_SCO,01,f,35,5,C,02,04,1871,9,O,104609,.,.,.,1
GBR_SCO,01,f,40,5,C,02,04,1871,9,O,95661,.,.,.,1
GBR_SCO,01,f,45,5,C,02,04,1871,9,O,80094,.,.,.,1
GBR_SCO,01,f,50,5,C,02,04,1871,9,O,73780,.,.,.,1
GBR_SCO,01,f,55,5,C,02,04,1871,9,O,57509,.,.,.,1
GBR_SCO,01,f,60,5,C,02,04,1871,9,O,55345,.,.,.,1
GBR_SCO,01,f,65,5,C,02,04,1871,9,O,38364,.,.,.,1
GBR_SCO,01,f,70,5,C,02,04,1871,9,O,31601,.,.,.,1
GBR_SCO,01,f,75,5,C,02,04,1871,9,O,17077,.,.,.,1
GBR_SCO,01,f,80,5,C,02,04,1871,9,O,9688,.,.,.,1
GBR_SCO,01,f,85,5,C,02,04,1871,9,O,3444,.,.,.,1
GBR_SCO,01,f,90,5,C,02,04,1871,9,O,982,.,.,.,1
GBR_SCO,01,f,95,5,C,02,04,1871,9,O,241,.,.,.,1
GBR_SCO,01,f,100,5,C,02,04,1871,9,O,50,.,.,.,1
GBR_SCO,01,f,105,+,C,02,04,1871,9,O,6,.,.,.,1
GBR_SCO,01,f,UNK,.,C,02,04,1871,9,O,0,.,.,.,1
GBR_SCO,01,f,TOT,.,C,02,04,1871,9,O,1756875,.,.,.,1
GBR_SCO,01,m,0,1,C,03,04,1881,10,O,55340,.,.,.,1
GBR_SCO,01,m,1,1,C,03,04,1881,10,O,50060,.,.,.,1
GBR_SCO,01,m,2,1,C,03,04,1881,10,O,51786,.,.,.,1
GBR_SCO,01,m,3,1,C,03,04,1881,10,O,51268,.,.,.,1
GBR_SCO,01,m,4,1,C,03,04,1881,10,O,49971,.,.,.,1
GBR_SCO,01,m,5,5,C,03,04,1881,10,O,227783,.,.,.,1
GBR_SCO,01,m,10,5,C,03,04,1881,10,O,205748,.,.,.,1
GBR_SCO,01,m,15,5,C,03,04,1881,10,O,189673,.,.,.,1
GBR_SCO,01,m,20,5,C,03,04,1881,10,O,166562,.,.,.,1
GBR_SCO,01,m,25,5,C,03,04,1881,10,O,137044,.,.,.,1
GBR_SCO,01,m,30,5,C,03,04,1881,10,O,112052,.,.,.,1
GBR_SCO,01,m,35,5,C,03,04,1881,10,O,97972,.,.,.,1
GBR_SCO,01,m,40,5,C,03,04,1881,10,O,90665,.,.,.,1
