PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
GBR_SCO,01,1855,1855,1,m,0,1,RR,2,O,6491,.,.,.,1
GBR_SCO,01,1855,1855,1,m,1,1,RR,2,O,2728,.,.,.,1
GBR_SCO,01,1855,1855,1,m,2,1,RR,2,O,1282,.,.,.,1
GBR_SCO,01,1855,1855,1,m,3,1,RR,2,O,858,.,.,.,1
GBR_SCO,01,1855,1855,1,m,4,1,RR,2,O,589,.,.,.,1
GBR_SCO,01,1855,1855,1,m,5,5,RR,2,O,1467,.,.,.,1
GBR_SCO,01,1855,1855,1,m,10,5,RR,2,O,816,.,.,.,1
GBR_SCO,01,1855,1855,1,m,15,5,RR,2,O,1096,.,.,.,1
GBR_SCO,01,1855,1855,1,m,20,5,RR,2,O,1227,.,.,.,1
GBR_SCO,01,1855,1855,1,m,25,5,RR,2,O,988,.,.,.,1
GBR_SCO,01,1855,1855,1,m,30,5,RR,2,O,902,.,.,.,1
GBR_SCO,01,1855,1855,1,m,35,5,RR,2,O,903,.,.,.,1
GBR_SCO,01,1855,1855,1,m,40,5,RR,2,O,937,.,.,.,1
GBR_SCO,01,1855,1855,1,m,45,5,RR,2,O,972,.,.,.,1
GBR_SCO,01,1855,1855,1,m,50,5,RR,2,O,950,.,.,.,1
GBR_SCO,01,1855,1855,1,m,55,5,RR,2,O,1079,.,.,.,1
GBR_SCO,01,1855,1855,1,m,60,5,RR,2,O,1277,.,.,.,1
GBR_SCO,01,1855,1855,1,m,65,5,RR,2,O,1268,.,.,.,1
GBR_SCO,01,1855,1855,1,m,70,5,RR,2,O,1406,.,.,.,1
GBR_SCO,01,1855,1855,1,m,75,5,RR,2,O,1426,.,.,.,1
GBR_SCO,01,1855,1855,1,m,80,5,RR,2,O,1065,.,.,.,1
GBR_SCO,01,1855,1855,1,m,85,5,RR,2,O,563,.,.,.,1
GBR_SCO,01,1855,1855,1,m,90,5,RR,2,O,191,.,.,.,1
GBR_SCO,01,1855,1855,1,m,95,5,RR,2,O,53,.,.,.,1
GBR_SCO,01,1855,1855,1,m,100,+,RR,2,O,9,.,.,.,1
GBR_SCO,01,1855,1855,1,m,UNK,.,.,2,O,83,.,.,.,1
GBR_SCO,01,1855,1855,1,m,TOT,.,.,2,O,30626,.,.,.,1
GBR_SCO,01,1855,1855,1,f,0,1,RR,2,O,5200,.,.,.,1
GBR_SCO,01,1855,1855,1,f,1,1,RR,2,O,2667,.,.,.,1
GBR_SCO,01,1855,1855,1,f,2,1,RR,2,O,1397,.,.,.,1
GBR_SCO,01,1855,1855,1,f,3,1,RR,2,O,869,.,.,.,1
GBR_SCO,01,1855,1855,1,f,4,1,RR,2,O,590,.,.,.,1
GBR_SCO,01,1855,1855,1,f,5,5,RR,2,O,1371,.,.,.,1
GBR_SCO,01,1855,1855,1,f,10,5,RR,2,O,732,.,.,.,1
